haul,haul.number,moc,net.number,date,transect,station,family,genus,species,number.of.individuals.raw,split.multiplier,number.of.individuals.adjusted,volume.filtered.m3,concentration.1000m3,vial.letter,fish.box.location,id.by,notes,,,,
101,0101-4-1,4,1,2022/3/2,GH,4,Scorpaenidae,Sebastes,Sebastes spp.,4,1,4,,#DIV/0!,a,Hatfield,JI,,,,,
101,0101-4-2,4,2,2022/3/2,GH,4,Scorpaenidae,Sebastes,Sebastes spp.,23,1,23,,#DIV/0!,a,Hatfield,JI,fish in chaetognath gut,,,,
101,0101-4-3,4,3,2022/3/2,GH,4,Scorpaenidae,Sebastes,Sebastes spp.,2,1,2,,#DIV/0!,a,Hatfield,JI,,,,,
101,0101-4-3,4,3,2022/3/2,GH,4,Liparidae,Liparis,Liparis fucensis,3,1,3,,#DIV/0!,b,Hatfield,JI,,,,,
101,0101-4-3,4,3,2022/3/2,GH,4,Unknown,Unknown,Unknown,1,1,1,,#DIV/0!,c,Hatfield,NH,,,,,
101,0101-4-4,4,4,2022/3/2,GH,4,Scorpaenidae,Sebastes,Sebastes spp.,9,1,9,,#DIV/0!,a,Hatfield,JI,,,,,
101,0101-4-4,4,4,2022/3/2,GH,4,Paralichthyidae,Citharichthys,Citharichthys stigmaeus,1,1,1,,#DIV/0!,c,Hatfield,JI,,,,,
101,0101-4-4,4,4,2022/3/2,GH,4,Damaged,,,1,1,1,,#DIV/0!,d,Hatfield,JI,,,,,
101,0101-4-4,4,4,2022/3/2,GH,4,Cottidae,Hemilepidotus,Hemilepidotus spinosus,1,1,1,,#DIV/0!,b,Hatfield,JI,,,,,
102,102-1-0,1,0,2022/3/2,GH,5,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,2,2,4,,#DIV/0!,a,Hatfield,JI,,,,,
102,0102-1-1,1,1,2022/3/2,GH,5,No fish,,,0,1,0,,#DIV/0!,,Hatfield,NH,,,,,
102,0102-1-2,1,2,2022/3/2,GH,5,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,1,1,1,,#DIV/0!,b,Hatfield,JI,,,,,
102,0102-1-2,1,2,2022/3/2,GH,5,Scorpaenidae,Stenobrachius,Stenobrachius leucopsarus,2,1,2,,#DIV/0!,a,Hatfield,JI,,,,,
102,0102-1-3,1,3,2022/3/2,GH,5,No fish,,,0,1,0,,#DIV/0!,,Hatfield,NH,,,,,
102,0102-1-4,1,4,2022/3/2,GH,5,No fish,,,0,2,0,,#DIV/0!,,Hatfield,NH,,,,,
102,102-1-4p,1,4,2022/3/2,GH,5,No fish,,,0,2,0,,#DIV/0!,,Hatfield,NH,,,,,
102,102-4-0,4,0,2022/3/2,GH,5,Myctophidae,Protomyctophum,Protomyctophum crockeri,1,1,1,,#DIV/0!,a,Hatfield,JI,,,,,
102,102-4-0,4,0,2022/3/2,GH,5,Pleuronectidae,Microstomus,Microstomus pacificus,1,1,1,,#DIV/0!,b,Hatfield,JI,,,,,
102,0102-4-1,4,1,2022/3/2,GH,5,No fish,,,0,1,0,,#DIV/0!,,Hatfield,NH,,,,,
102,0102-4-2,4,2,2022/3/2,GH,5,No fish,,,0,1,0,,#DIV/0!,,Hatfield,NH,,,,,
102,0102-4-3,4,3,2022/3/2,GH,5,No fish,,,0,1,0,,#DIV/0!,,Hatfield,NH,,,,,
102,0102-4-4,4,4,2022/3/2,GH,5,Cottidae,Hemilepidotus,Hemilepidotus spinosus,2,1,2,,#DIV/0!,a,Hatfield,JI,,,,,
103,103-1-0,1,0,2022/3/2,GH,6,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,4,2,8,,#DIV/0!,a,Hatfield,JI,,,,,
103,0103-1-1,1,1,2022/3/2,GH,6,No fish,,,0,1,0,,#DIV/0!,,Hatfield,NH,,,,,
103,0103-1-2,1,2,2022/3/2,GH,6,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,5,1,5,,#DIV/0!,a,Hatfield,JI,,,,,
103,0103-1-2,1,2,2022/3/2,GH,6,Damaged,,,1,1,1,,#DIV/0!,b,Hatfield,JI,,,,,
103,0103-1-3,1,3,2022/3/2,GH,6,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,3,1,3,,#DIV/0!,a,Hatfield,JI,,,,,
103,0103-1-3,1,3,2022/3/2,GH,6,Cottidae,,,1,1,1,,#DIV/0!,b,Hatfield,JI,,,,,
103,0103-1-4,1,4,2022/3/2,GH,6,No fish,,,0,2,0,,#DIV/0!,,Hatfield,NH,,,,,
103,0103-1-4p,1,4,2022/3/2,GH,6,No fish,,,0,2,0,,#DIV/0!,,Hatfield,NH,,,,,
103,103-4-0,4,0,2022/3/2,GH,6,No fish,,,0,1,0,,#DIV/0!,,Hatfield,NH,,,,,
103,0103-4-1,4,1,2022/3/2,GH,6,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,1,1,1,,#DIV/0!,a,Hatfield,JI,,,,,
103,0103-4-2,4,2,2022/3/2,GH,6,Liparidae,Liparis,Liparis fucensis,1,1,1,,#DIV/0!,a,Hatfield,JI,,,,,
103,0103-4-3,4,3,2022/3/2,GH,6,Scorpaenidae,Sebastes,Sebastes spp.,1,1,1,,#DIV/0!,a,Hatfield,JI,,,,,
103,0103-4-4,4,4,2022/3/2,GH,6,No fish,,,0,1,0,,#DIV/0!,,Hatfield,NH,,,,,
104,104-1-0,1,0,2022/3/3,GH,3,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,2,2,4,,#DIV/0!,b,Hatfield,JI,,,,,
104,104-1-0,1,0,2022/3/3,GH,3,Scorpaenidae,Sebastes,Sebastes spp.,28,2,56,,#DIV/0!,a,Hatfield,JI,,,,,
104,104-1-0,1,0,2022/3/3,GH,3,Damaged,,,1,2,2,,#DIV/0!,d,Hatfield,JI,head only,,,,
104,104-1-0,1,0,2022/3/3,GH,3,Stichaeidae,Plectobranchus,Plectobranchus evides,1,2,2,,#DIV/0!,c,Hatfield,JI,,,,,
104,0104-1-1,1,1,2022/3/3,GH,3,Scorpaenidae,Sebastes,Sebastes spp.,3,1,3,,#DIV/0!,a,Hatfield,JI,,,,,
104,0104-1-1,1,1,2022/3/3,GH,3,Unknown,,,1,1,1,,#DIV/0!,b,Hatfield,JI,,,,,
104,0104-1-2,1,2,2022/3/3,GH,3,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,1,1,1,,#DIV/0!,c,Hatfield,JI,,,,,
104,0104-1-2,1,2,2022/3/3,GH,3,Scorpaenidae,Sebastes,Sebastes spp.,47,1,47,,#DIV/0!,a,Hatfield,JI,,,,,
104,0104-1-2,1,2,2022/3/3,GH,3,Liparidae,Liparis,Liparis fucensis,1,1,1,,#DIV/0!,b,Hatfield,JI,,,,,
104,0104-1-2,1,2,2022/3/3,GH,3,Damaged,,,1,1,1,,#DIV/0!,e,Hatfield,JI,,,,,
104,0104-1-2,1,2,2022/3/3,GH,3,Ophidiidae,,,2,1,2,,#DIV/0!,d,Hatfield,JI,have Toby check,,,,
104,0104-1-3,1,3,2022/3/3,GH,3,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,1,1,1,,#DIV/0!,b,Hatfield,JI,,,,,
104,0104-1-3,1,3,2022/3/3,GH,3,Scorpaenidae,Sebastes,Sebastes spp.,30,1,30,,#DIV/0!,a,Hatfield,JI,,,,,
104,0104-1-4,1,4,2022/3/3,GH,3,Scorpaenidae,Sebastes,Sebastes spp.,50,2,100,,#DIV/0!,a,Hatfield,JI,,,,,
104,104-1-4p,1,4,2022/3/3,GH,3,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,1,2,2,,#DIV/0!,pb,Hatfield,JI,,,,,
104,104-1-4p,1,4,2022/3/3,GH,3,Scorpaenidae,Sebastes,Sebastes spp.,21,2,42,,#DIV/0!,pa,Hatfield,JI,,,,,
104,104-1-4p,1,4,2022/3/3,GH,3,Damaged,,,5,2,10,,#DIV/0!,pc,Hatfield,JI,,,,,
104,104-4-0,4,0,2022/3/3,GH,3,Myctophidae,Protomyctophum,Protomyctophum crockeri,1,1,1,,#DIV/0!,c,Hatfield,JI,,,,,
104,104-4-0,4,0,2022/3/3,GH,3,Cottidae,Cottid spp.,Cottidae spp.,1,1,1,,#DIV/0!,e,Hatfield,NH,,,,,
104,104-4-0,4,0,2022/3/3,GH,3,Scorpaenidae,Sebastes,Sebastes spp.,16,1,16,,#DIV/0!,b,Hatfield,JI,,,,,
104,104-4-0,4,0,2022/3/3,GH,3,Cottidae,Hemilepidotus,Hemilepidotus spinosus,9,1,9,,#DIV/0!,d,Hatfield,JI,,,,,
104,104-4-0,4,0,2022/3/3,GH,3,Cottidae,Scorpaenichthys,Scorpaenichthys marmoratus,1,1,1,,#DIV/0!,f,Hatfield,JI,,,,,
104,104-4-0,4,0,2022/3/3,GH,3,Liparidae,Liparis,Liparis fucensis,6,1,6,,#DIV/0!,a,Hatfield,JI,,,,,
104,0104-4-1,4,1,2022/3/3,GH,3,Stichaeidae,Plectobranchus,Plectobranchus evides,2,1,2,,#DIV/0!,a,Hatfield,JI,,,,,
104,0104-4-2,4,2,2022/3/3,GH,3,No fish,,,0,1,0,,#DIV/0!,,Hatfield,NH,,,,,
104,0104-4-3,4,3,2022/3/3,GH,3,Scorpaenidae,Sebastes,Sebastes spp.,15,1,15,,#DIV/0!,a,Hatfield,JI,,,,,
104,0104-4-3,4,3,2022/3/3,GH,3,Liparidae,Liparis,Liparis fucensis,1,1,1,,#DIV/0!,b,Hatfield,JI,,,,,
104,0104-4-4,4,4,2022/3/3,GH,3,Scorpaenidae,Sebastes,Sebastes spp.,29,1,29,,#DIV/0!,a,Hatfield,JI,,,,,
104,0104-4-4,4,4,2022/3/3,GH,3,Cottidae,Hemilepidotus,Hemilepidotus spinosus,3,1,3,,#DIV/0!,b,Hatfield,JI,,,,,
104,0104-4-4,4,4,2022/3/3,GH,3,Damaged,,,1,1,1,,#DIV/0!,c,Hatfield,JI,,,,,
105,105-1-0,1,0,2022/3/3,GH,2,Scorpaenidae,Sebastes,Sebastes spp.,3,2,6,,#DIV/0!,a,Hatfield,JI,,,,,
105,105-1-0,1,0,2022/3/3,GH,2,Pleuronectidae,Parophrys,Parophrys vetulus,3,2,6,,#DIV/0!,b,Hatfield,JI,,,,,
105,105-1-0,1,0,2022/3/3,GH,2,Pleuronectidae,Psettichthys,Psettichthys melanostictus,3,2,6,,#DIV/0!,c,Hatfield,JI,,,,,
105,105-1-0,1,0,2022/3/3,GH,2,Damaged,,,5,2,10,,#DIV/0!,e,Hatfield,JI,,,,,
105,105-1-0,1,0,2022/3/3,GH,2,Unknown,,,4,2,8,,#DIV/0!,d,Hatfield,JI,,,,,
105,0105-1-3,1,3,2022/3/3,GH,2,Osmeridae,Osmerid spp.,Osmerid spp.,4,1,4,,#DIV/0!,a,Hatfield,NH,,,,,
105,0105-1-3,1,3,2022/3/3,GH,2,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,1,1,1,,#DIV/0!,c,Hatfield,JI,,,,,
105,0105-1-3,1,3,2022/3/3,GH,2,Scorpaenidae,Sebastes,Sebastes spp.,5,1,5,,#DIV/0!,b,Hatfield,JI,,,,,
105,0105-1-3,1,3,2022/3/3,GH,2,Cottidae,Radulinus,Radulinus asprellus,1,1,1,,#DIV/0!,h,Hatfield,JI,,,,,
105,0105-1-3,1,3,2022/3/3,GH,2,Cottidae,,,1,1,1,,#DIV/0!,e,Hatfield,JI,,,,,
105,0105-1-3,1,3,2022/3/3,GH,2,Pleuronectidae,Parophrys,Parophrys vetulus,3,1,3,,#DIV/0!,d,Hatfield,JI,,,,,
105,0105-1-3,1,3,2022/3/3,GH,2,Damaged,,,3,1,3,,#DIV/0!,f,Hatfield,JI,,,,,
105,0105-1-3,1,3,2022/3/3,GH,2,Gadidae,Microgadus,Microgadus proximus,3,1,3,,#DIV/0!,g,Hatfield,JI,,,,,
105,0105-1-4,1,4,2022/3/3,GH,2,Scorpaenidae,Sebastes,Sebastes spp.,6,2,12,,#DIV/0!,a,Hatfield,JI,,,,,
105,0105-1-4,1,4,2022/3/3,GH,2,Pleuronectidae,Parophrys,Parophrys vetulus,1,2,2,,#DIV/0!,b,Hatfield,JI,,,,,
105,0105-1-4,1,4,2022/3/3,GH,2,Gadidae,Microgadus,Microgadus proximus,1,2,2,,#DIV/0!,c,Hatfield,JI,,,,,
105,105-1-4p,1,4,2022/3/3,GH,2,Osmeridae,Osmerid spp.,Osmerid spp.,1,2,2,,#DIV/0!,pb,Hatfield,NH,november '24 LB and NH checked E. mordax ID's ,,,,
105,105-1-4p,1,4,2022/3/3,GH,2,Scorpaenidae,Sebastes,Sebastes spp.,9,2,18,,#DIV/0!,pa,Hatfield,JI,,,,,
105,105-4-0,4,0,2022/3/3,GH,2,Cottidae,,,1,1,1,,#DIV/0!,d,Hatfield,JI,,,,,
105,105-4-0,4,0,2022/3/3,GH,2,Cottidae,Hemilepidotus,Hemilepidotus spinosus,1,1,1,,#DIV/0!,e,Hatfield,JI,,,,,
105,105-4-0,4,0,2022/3/3,GH,2,Pleuronectidae,Parophrys,Parophrys vetulus,6,1,6,,#DIV/0!,a,Hatfield,JI,,,,,
105,105-4-0,4,0,2022/3/3,GH,2,Pleuronectidae,Psettichthys,Psettichthys melanostictus,2,1,2,,#DIV/0!,f,Hatfield,JI,,,,,
105,105-4-0,4,0,2022/3/3,GH,2,Damaged,,,4,1,4,,#DIV/0!,c,Hatfield,JI,,,,,
105,105-4-0,4,0,2022/3/3,GH,2,Gadidae,Microgadus,Microgadus proximus,19,1,19,,#DIV/0!,b,Hatfield,JI,,,,,
105,0105-4-3,4,3,2022/3/3,GH,2,Osmeridae,Osmerid spp.,Osmerid spp.,3,1,3,,#DIV/0!,e,Hatfield,NH,,,,,
105,0105-4-3,4,3,2022/3/3,GH,2,Cottidae,,,2,1,2,,#DIV/0!,c,Hatfield,JI,,,,,
105,0105-4-3,4,3,2022/3/3,GH,2,Pleuronectidae,Parophrys,Parophrys vetulus,12,1,12,,#DIV/0!,a and g,Hatfield,JI,,,,,
105,0105-4-3,4,3,2022/3/3,GH,2,Pleuronectidae,Psettichthys,Psettichthys melanostictus,1,1,1,,#DIV/0!,f,Hatfield,JI,,,,,
105,0105-4-3,4,3,2022/3/3,GH,2,Damaged,,,11,1,11,,#DIV/0!,b,Hatfield,JI,,,,,
105,0105-4-3,4,3,2022/3/3,GH,2,Gadidae,Microgadus,Microgadus proximus,1,1,1,,#DIV/0!,d,Hatfield,NH,,,,,
105,0105-4-4,4,4,2022/3/3,GH,2,Scorpaenidae,Sebastes,Sebastes spp.,15,1,15,,#DIV/0!,a,Hatfield,JI,,,,,
105,0105-4-4,4,4,2022/3/3,GH,2,Cottidae,Hemilepidotus,Hemilepidotus spinosus,1,1,1,,#DIV/0!,d,Hatfield,JI,,,,,
105,0105-4-4,4,4,2022/3/3,GH,2,Damaged,Damaged,Damaged,1,1,1,,#DIV/0!,c,Hatfield,JI,,,,,
105,0105-4-4,4,4,2022/3/3,GH,2,Gadidae,Microgadus,Microgadus proximus,4,1,4,,#DIV/0!,b,Hatfield,JI,,,,,
106,106-1-0,1,0,2022/3/3,GH,1,Osmeridae,Osmerid spp.,Osmerid spp.,21,2,42,,#DIV/0!,c,Hatfield,NH,november '24 LB and NH checked E. mordax ID's ,,,,
106,106-1-0,1,0,2022/3/3,GH,1,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,2,2,4,,#DIV/0!,a,Hatfield,JI,,,,,
106,106-1-0,1,0,2022/3/3,GH,1,Scorpaenidae,Sebastes,Sebastes spp.,2,2,4,,#DIV/0!,e,Hatfield,JI,,,,,
106,106-1-0,1,0,2022/3/3,GH,1,Damaged,Damaged,Damaged,14,2,28,,#DIV/0!,b,Hatfield,JI,,,,,
106,106-1-0,1,0,2022/3/3,GH,1,Unknown,Unknown,Unknown,8,2,16,,#DIV/0!,g,Hatfield,JI,maybe 3 diff species,,,,
106,106-1-0,1,0,2022/3/3,GH,1,Stichaeidae,Xiphister,Xiphister atrophurpureus,8,2,16,,#DIV/0!,d,Hatfield,JI,,,,,
106,106-1-0,1,0,2022/3/3,GH,1,Gadidae,Microgadus,Microgadus proximus,1,2,2,,#DIV/0!,f,Hatfield,NH,pretty beat up,,,,
106,106-1-0,1,0,2022/3/3,GH,1,Ammodytidae,Ammodytes,Ammodytes spp.,2,2,,,,H,Hatfield,NH,november '24 LB and NH checked E. mordax ID's ,,,,
106,0106-1-3,1,1,2022/3/3,GH,1,Osmeridae,Osmerid spp.,Osmerid spp.,17,1,17,,#DIV/0!,a,Hatfield,LB,november '24 LB and NH checked E. mordax ID's ,,,,
106,0106-1-3,1,1,2022/3/3,GH,1,Damaged,Damaged,Damaged,2,1,2,,#DIV/0!,c,Hatfield,JI,,,,,
106,0106-1-4,1,4,2022/3/3,GH,1,Osmeridae,Osmerid spp.,Osmerid spp.,25,2,50,,#DIV/0!,a,Hatfield,LB,november '24 LB and NH checked E. mordax ID's ,,,,
106,0106-1-4,1,4,2022/3/3,GH,1,Cottidae,Cottid spp.,Cottidae spp.,2,2,4,,#DIV/0!,c,Hatfield,JI,,,,,
106,0106-1-4,1,4,2022/3/3,GH,1,Liparidae,Liparis,Liparis fucensis,3,2,6,,#DIV/0!,b,Hatfield,JI,,,,,
106,0106-1-4,1,4,2022/3/3,GH,1,Damaged,Damaged,Damaged,5,2,10,,#DIV/0!,d,Hatfield,JI,,,,,
106,0106-1-4,1,4,2022/3/3,GH,1,Unknown,Unknown,Unknown,3,2,6,,#DIV/0!,g,Hatfield,JI,,,,,
106,0106-1-4,1,4,2022/3/3,GH,1,Anoplopomatidae,Anoplopomatidae spp.,Anoplopomatidae spp.,1,2,2,,#DIV/0!,e,Hatfield,JI,,,,,
106,0106-1-4,1,4,2022/3/3,GH,1,Gadidae,Gadid spp.,Gadid spp.,1,2,2,,#DIV/0!,f,Hatfield,NH,,,,,
106,106-1-4p,1,4,2022/3/3,GH,1,Clupeidae,Sardinops,Sardinops sagax,1,2,2,,#DIV/0!,pb,Hatfield,JI,,,,,
106,106-1-4p,1,4,2022/3/3,GH,1,Osmeridae,Osmerid spp.,Osmerid spp.,13,2,26,,#DIV/0!,pa,Hatfield,LB,november '24 LB and NH checked E. mordax ID's ,,,,
106,106-1-4p,1,4,2022/3/3,GH,1,Liparidae,Liparis,Liparis fucensis,1,2,2,,#DIV/0!,pf,Hatfield,JI,,,,,
106,106-1-4p,1,4,2022/3/3,GH,1,Damaged,Damaged,Damaged,6,2,12,,#DIV/0!,pc,Hatfield,JI,,,,,
106,106-1-4p,1,4,2022/3/3,GH,1,Unknown,Unknown,Unknown,4,2,8,,#DIV/0!,pe,Hatfield,JI,,,,,
106,106-1-4p,1,4,2022/3/3,GH,1,Gadidae,Microgadus,Microgadus proximus,2,2,4,,#DIV/0!,pd,Hatfield,JI,,,,,
106,106-4-0,4,0,2022/3/3,GH,1,Scorpaenidae,Sebastes,Sebastes spp.,1,1,1,,#DIV/0!,a,Hatfield,JI,,,,,
106,106-4-0,4,0,2022/3/3,GH,1,Cottidae,Hemilepidotus,Hemilepidotus spinosus,2,1,2,,#DIV/0!,h,Hatfield,JI,,,,,
106,106-4-0,4,0,2022/3/3,GH,1,Cottidae,Scorpaenichthys,Scorpaenichthys marmoratus,1,1,1,,#DIV/0!,g,Hatfield,JI,,,,,
106,106-4-0,4,0,2022/3/3,GH,1,Liparidae,Liparis,Liparis fucensis,1,1,1,,#DIV/0!,b,Hatfield,JI,,,,,
106,106-4-0,4,0,2022/3/3,GH,1,Pleuronectidae,Parophrys,Parophrys vetulus,1,1,1,,#DIV/0!,e,Hatfield,JI,,,,,
106,106-4-0,4,0,2022/3/3,GH,1,Pleuronectidae,Psettichthys,Psettichthys melanostictus,1,1,1,,#DIV/0!,f,Hatfield,JI,,,,,
106,106-4-0,4,0,2022/3/3,GH,1,Damaged,Damaged,Damaged,3,1,3,,#DIV/0!,i,Hatfield,JI,,,,,
106,106-4-0,4,0,2022/3/3,GH,1,Unknown,Unknown,Unknown,4,1,4,,#DIV/0!,d,Hatfield,JI,almost looks like E. mordax but gut too short,,,,
106,106-4-0,4,0,2022/3/3,GH,1,Gadidae,Microgadus,Microgadus proximus,1,1,1,,#DIV/0!,c,Hatfield,JI,,,,,
106,0106-4-3,4,3,2022/3/3,GH,1,Pleuronectidae,Psettichthys,Psettichthys melanostictus,1,1,1,,#DIV/0!,b,Hatfield,JI,,,,,
106,0106-4-3,4,3,2022/3/3,GH,1,Damaged,Damaged,Damaged,3,1,3,,#DIV/0!,c,Hatfield,JI,,,,,
106,0106-4-3,4,3,2022/3/3,GH,1,Gadidae,Microgadus,Microgadus proximus,2,1,2,,#DIV/0!,a,Hatfield,JI,,,,,
106,0106-4-4,4,4,2022/3/3,GH,1,Scorpaenidae,Sebastes,Sebastes spp.,1,1,1,,#DIV/0!,c,Hatfield,JI,,,,,
106,0106-4-4,4,4,2022/3/3,GH,1,Pleuronectidae,Parophrys,Parophrys vetulus,1,1,1,,#DIV/0!,b,Hatfield,JI,,,,,
106,0106-4-4,4,4,2022/3/3,GH,1,Damaged,Damaged,Damaged,3,1,3,,#DIV/0!,d,Hatfield,JI,,,,,
106,0106-4-4,4,4,2022/3/3,GH,1,Gadidae,Microgadus,Microgadus proximus,3,1,3,,#DIV/0!,a,Hatfield,JI,,,,,
107,107-1-0,1,0,2022/3/4,CR,4,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,9,2,18,,#DIV/0!,b,Hatfield,JI,,,,,
107,107-1-0,1,0,2022/3/4,CR,4,Scorpaenidae,Sebastes,Sebastes spp.,124,2,248,,#DIV/0!,a,Hatfield,JI,,,,,
107,107-1-0,1,0,2022/3/4,CR,4,Pleuronectidae,Lyopsetta,Lyopsetta exilis,1,2,2,,#DIV/0!,c,Hatfield,JI,,,,,
107,107-1-0,1,0,2022/3/4,CR,4,Damaged,Damaged,Damaged,2,2,4,,#DIV/0!,d,Hatfield,JI,,,,,
107,0107-1-1,1,1,2022/3/4,CR,4,Myctophidae,Tarletonbeania,Tarletonbeania crenularis,1,1,1,,#DIV/0!,b,Hatfield,JI,,,,,
107,0107-1-1,1,1,2022/3/4,CR,4,Scorpaenidae,Sebastes,Sebastes spp.,11,1,11,,#DIV/0!,a,Hatfield,JI,,,,,
107,0107-1-1,1,1,2022/3/4,CR,4,Pleuronectidae,Lyopsetta,Lyopsetta exilis,1,1,1,,#DIV/0!,c,Hatfield,JI,,,,,
107,0107-1-2,1,2,2022/3/4,CR,4,Bathylagidae,Bathylagus,Bathylagus pacificus,1,1,1,,#DIV/0!,d,Hatfield,JI,,,,,
107,0107-1-2,1,2,2022/3/4,CR,4,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,1,1,1,,#DIV/0!,c,Hatfield,JI,,,,,
107,0107-1-2,1,2,2022/3/4,CR,4,Scorpaenidae,Sebastes,Sebastes spp.,18,1,18,,#DIV/0!,a,Hatfield,JI,,,,,
107,0107-1-2,1,2,2022/3/4,CR,4,Liparidae,Liparis,Liparis fucensis,4,1,4,,#DIV/0!,b,Hatfield,JI,,,,,
107,0107-1-2,1,2,2022/3/4,CR,4,Pleuronectidae,Lyopsetta,Lyopsetta exilis,2,1,2,,#DIV/0!,e,Hatfield,JI,,,,,
107,0107-1-2,1,2,2022/3/4,CR,4,Pleuronectidae,Microstomus,Microstomus pacificus,2,1,2,,#DIV/0!,f,Hatfield,JI,,,,,
107,0107-1-3,1,3,2022/3/4,CR,4,Damaged,Damaged,Damaged,1,1,1,,#DIV/0!,d,Hatfield,NH,november '24 LB and NH checked E. mordax ID's ,,,,
107,0107-1-3,1,3,2022/3/4,CR,4,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,6,1,6,,#DIV/0!,c,Hatfield,JI,,,,,
107,0107-1-3,1,3,2022/3/4,CR,4,Myctophidae,Tarletonbeania,Tarletonbeania crenularis,1,1,1,,#DIV/0!,b,Hatfield,JI,,,,,
107,0107-1-3,1,3,2022/3/4,CR,4,Scorpaenidae,Sebastes,Sebastes spp.,19,1,19,,#DIV/0!,a,Hatfield,JI,,,,,
107,0107-1-3,1,3,2022/3/4,CR,4,Pleuronectidae,Glyptocephalus,Glyptocephalus zachirus,1,1,1,,#DIV/0!,e,Hatfield,JI,,,,,
107,0107-1-4,1,4,2022/3/4,CR,4,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,21,2,42,,#DIV/0!,b,Hatfield,JI,,,,,
107,0107-1-4,1,4,2022/3/4,CR,4,Scorpaenidae,Sebastes,Sebastes spp.,288,2,576,,#DIV/0!,a,Hatfield,JI,,,,,
