Haul.no,Haul,Moc,Net.no,Season,Location,Station,Transect,no.individuals.raw,family,species,split.mult,no.individuals,volume.filtered.m3,concentration.1000m3,notes
,101,4,1,winter,NH,1,MaN,1,Scorpaenidae,Sebastes spp.,1,1,,,With CR's fish
,101,4,1,winter,NH,1,MaN,2,unknown,fish egg(s),1,2,,,
,101,4,1,winter,NH,1,MaN,2,Pleuronectidae,Parophrys vetulus,1,2,,,with EC's fish
,101,4,1,winter,NH,1,MaN,1,unknown,Damaged,1,1,,,
101-4-2,101,4,2,winter,NH,1,MaN,,,,,,,,this sample completely lost due to a spill
101-4-3,101,4,3,winter,NH,1,MaN,,,,,,,,this sample completely lost due to a spill
101-4-4,101,4,4,winter,NH,1,MaN,8,Scorpaenidae,Sebastes spp.,1,8,,,With CR's fish
,101,4,4,winter,NH,1,MaN,4,unknown,fish egg(s),1,4,,,
,101,4,4,winter,NH,1,MaN,6,Pleuronectidae,Parophrys vetulus,1,6,,,with EC's fish
,101,4,4,winter,NH,1,MaN,1,Hexagrammidae,Ophiodon elongatus,1,1,,,
,101,4,4,winter,NH,1,MaN,1,unknown,Damaged,1,1,,,
102-1-0,102,1,0,winter,NH,3,MaN,1,Myctophidae,Stenobrachius leucopsarus,1,1,,,
,102,1,0,winter,NH,3,MaN,5,Myctophidae,Stenobrachius leucopsarus,1,5,,,
,102,1,0,winter,NH,3,MaN,64,Scorpaenidae,Sebastes spp.,1,64,,,With CR's fish
,102,1,0,winter,NH,3,MaN,17,Pleuronectidae,Parophrys vetulus,1,17,,,with EC's fish
,102,1,0,winter,NH,3,MaN,4,unknown,fish egg(s),1,4,,,
,102,1,0,winter,NH,3,MaN,11,unknown,Damaged,1,11,,,
102-1-1,102,1,1,winter,NH,3,MaN,1,Bathylagidae,Bathylagus pacificus,1,1,,,
,102,1,1,winter,NH,3,MaN,2,Myctophidae,Stenobrachius leucopsarus,1,2,,,
,102,1,1,winter,NH,3,MaN,214,Scorpaenidae,Sebastes spp.,1,214,,,with CR's fish
,102,1,1,winter,NH,3,MaN,16,Pleuronectidae,Parophrys vetulus,1,16,,,with EC's fish
,102,1,1,winter,NH,3,MaN,1,unknown,Unknown,1,1,,,NH - don't think I've seen this one before
,102,1,1,winter,NH,3,MaN,5,unknown,Damaged,1,5,,,
,102,1,1,winter,NH,3,MaN,2,Myctophidae,Protomyctophum crockeri,1,2,,,
,102,1,1,winter,NH,3,MaN,1,unknown,fish egg(s),1,1,,,
102-1-2,102,1,2,winter,NH,3,MaN,1,Bathylagidae,Lipolagus ochotensis,1,1,,,
,102,1,2,winter,NH,3,MaN,3,Myctophidae,Stenobrachius leucopsarus,1,3,,,
,102,1,2,winter,NH,3,MaN,1,Myctophidae,Tarletonbeania crenularis,1,1,,,
,102,1,2,winter,NH,3,MaN,30,Scorpaenidae,Sebastes spp.,1,30,,,With CR's fish
,102,1,2,winter,NH,3,MaN,3,Cyclopteridae,Liparis fucensis,1,3,,,
,102,1,2,winter,NH,3,MaN,61,Pleuronectidae,Parophrys vetulus,1,61,,,with EC's fish
,102,1,2,winter,NH,3,MaN,3,unknown,fish egg(s),1,3,,,
,102,1,2,winter,NH,3,MaN,2,Myctophidae,Protomyctophum crockeri,1,2,,,
,102,1,2,winter,NH,3,MaN,2,unknown,Damaged,1,2,,,
102-1-3,102,1,3,winter,NH,3,MaN,12,Myctophidae,Stenobrachius leucopsarus,1,12,,,
,102,1,3,winter,NH,3,MaN,2,Myctophidae,Tarletonbeania crenularis,1,2,,,
,102,1,3,winter,NH,3,MaN,23,Scorpaenidae,Sebastes spp.,1,23,,,With CR's fish
,102,1,3,winter,NH,3,MaN,39,Pleuronectidae,Parophrys vetulus,1,39,,,with EC's fish
,102,1,3,winter,NH,3,MaN,2,unknown,fish egg(s),1,2,,,
,102,1,3,winter,NH,3,MaN,8,unknown,Damaged,1,8,,,
102-1-4,102,1,4,winter,NH,3,MaN,9,Myctophidae,Stenobrachius leucopsarus,1,9,,,
,102,1,4,winter,NH,3,MaN,37,Scorpaenidae,Sebastes spp.,1,37,,,With CR's fish
,102,1,4,winter,NH,3,MaN,2,Hexagrammidae,Hemilepodotus spp.,1,2,,,
,102,1,4,winter,NH,3,MaN,1,Paralichthyidae,Citharichthys spp.,1,1,,,
,102,1,4,winter,NH,3,MaN,2,Pleuronectidae,Isopsetta isolepis,1,2,,,
,102,1,4,winter,NH,3,MaN,3,Pleuronectidae,Parophrys vetulus,1,3,,,with EC's fish
,102,1,4,winter,NH,3,MaN,21,unknown,fish egg(s),1,21,,,
,102,1,4,winter,NH,3,MaN,3,unknown,Damaged,1,3,,,
102-4-0,102,4,0,winter,NH,3,MaN,1,Myctophidae,Tarletonbeania crenularis,1,1,,,
,102,4,0,winter,NH,3,MaN,90,Scorpaenidae,Sebastes spp.,1,90,,,With CR's fish
,102,4,0,winter,NH,3,MaN,5,Pleuronectidae,Parophrys vetulus,1,5,,,with EC's fish
,102,4,0,winter,NH,3,MaN,215,unknown,fish egg(s),1,215,,,
,102,4,0,winter,NH,3,MaN,9,unknown,Damaged,1,9,,,
,102,4,0,winter,NH,3,MaN,1,Paralepididae,Lestidiops ringens,1,1,,,
,102,4,0,winter,NH,3,MaN,2,Myctophidae,Unknown,1,2,,,juveniles
,102,4,0,winter,NH,3,MaN,2,Cyclopteridae,Liparis spp.,1,2,,,
102-4-1,102,4,1,winter,NH,3,MaN,1,Pleuronectidae,Parophrys vetulus,1,1,,,with EC's fish
,102,4,1,winter,NH,3,MaN,2,unknown,Damaged,1,2,,,
102-4-2,102,4,2,winter,NH,3,MaN,,,,,,,,this sample completely lost due to a spill
102-4-3,102,4,3,winter,NH,3,MaN,1,unknown,Damaged,1,1,,,
102-4-4,102,4,4,winter,NH,3,MaN,1,Scorpaenidae,Sebastes spp.,1,1,,,With CR's fish
103-1-oblique,103,1,,winter,NH ,5,MaN,1,Bathylagidae,Bathylagus pacificus,1,1,,,
,103,1,,winter,NH ,5,MaN,5,Bathylagidae,Lipolagus ochotensis,1,5,,,
,103,1,,winter,NH ,5,MaN,1,Myctophidae,Stenobrachius leucopsarus,1,1,,,juvenile
,103,1,,winter,NH ,5,MaN,11,Myctophidae,Stenobrachius leucopsarus,1,11,,,
,103,1,,winter,NH ,5,MaN,3,Myctophidae,Protomyctophum crockeri,1,3,,,
,103,1,,winter,NH ,5,MaN,2,Myctophidae,Tarletonbeania crenularis,1,2,,,
,103,1,,winter,NH ,5,MaN,108,Scorpaenidae,Sebastes spp.,1,108,,,With CR's fish
,103,1,,winter,NH ,5,MaN,3,Pleuronectidae,Parophrys vetulus,1,3,,,with EC's fish
,103,1,,winter,NH ,5,MaN,2,Chauliodontidae,Chauliodus macouni,1,2,,,
,103,1,,winter,NH ,5,MaN,11,unknown,Damaged,1,11,,,
103-4-oblique,103,4,,winter,NH,5,MaN,3,Bathylagidae,Lipolagus ochotensis,1,3,,,
,103,4,,winter,NH,5,MaN,1,Myctophidae,Unknown,1,1,,,juvenile
,103,4,,winter,NH,5,MaN,1,Myctophidae,Stenobrachius leucopsarus,1,1,,,
,103,4,,winter,NH,5,MaN,1,Myctophidae,Protomyctophum crockeri,1,1,,,
,103,4,,winter,NH,5,MaN,1,Myctophidae,Tarletonbeania crenularis,1,1,,,
,103,4,,winter,NH,5,MaN,52,Scorpaenidae,Sebastes spp.,1,52,,,With CR's fish
,103,4,,winter,NH,5,MaN,1,Cyclopteridae,Liparis spp.,1,1,,,
,103,4,,winter,NH,5,MaN,3,Paralichthyidae,Citharichthys stigmaeus,1,3,,,
,103,4,,winter,NH,5,MaN,2.5,Paralepididae,Lestidiops ringens,1,2.5,,,
,103,4,,winter,NH,5,MaN,2,unknown,Damaged,1,2,,,
,103,4,,winter,NH,5,MaN,1,unknown,dessicated,1,1,,,
104-1-oblique,104,1,oblique,winter,NH,5,MaD,2,Bathylagidae,Lipolagus ochotensis,NA,3,1655.31,1.812349348,split multiple used differently in this spreadsheet due to combining nets--see lab book
,104,1,oblique,winter,NH,5,MaD,9,Myctophidae,Stenobrachius leucopsarus,NA,17,1655.31,10.26997964,
,104,1,oblique,winter,NH,5,MaD,2,Myctophidae,Protomyctophum crockeri,NA,4,1655.31,2.416465798,
,104,1,oblique,winter,NH,5,MaD,2,Myctophidae,Tarletonbeania crenularis,NA,4,1655.31,2.416465798,
,104,1,oblique,winter,NH,5,MaD,68,Scorpaenidae,Sebastes spp.,NA,129,1655.31,77.93102198,With CR's fish
,104,1,oblique,winter,NH,5,MaD,1,Pleuronectidae,Parophrys vetulus,NA,1,1655.31,0.6041164495,with EC's fish
,104,1,oblique,winter,NH,5,MaD,4,unknown,Damaged,NA,6,1655.31,3.624698697,
104-4-oblique,104,4,oblique,winter,NH,5,MaD,1,Bathylagidae,Lipolagus ochotensis,1,1,6621.22,0.1510295686,
,104,4,oblique,winter,NH,5,MaD,1,Myctophidae,Stenobrachius leucopsarus,1,1,6621.22,0.1510295686,
,104,4,oblique,winter,NH,5,MaD,1,Myctophidae,Protomyctophum crockeri,1,1,6621.22,0.1510295686,
,104,4,oblique,winter,NH,5,MaD,2,Myctophidae,Tarletonbeania crenularis,1,2,6621.22,0.3020591371,
,104,4,oblique,winter,NH,5,MaD,31,Scorpaenidae,Sebastes spp.,1,31,6621.22,4.681916626,With CR's fish
,104,4,oblique,winter,NH,5,MaD,3,unknown,fish egg(s),1,3,6621.22,0.4530887057,
105-1-oblique,105,1,oblique,winter,NH,3,MaD,2,Myctophidae,Stenobrachius leucopsarus,NA,3,1510.39,1.986241964,
,105,1,oblique,winter,NH,3,MaD,2,Myctophidae,Protomyctophum crockeri,NA,4,1510.39,2.648322619,
,105,1,oblique,winter,NH,3,MaD,1,Myctophidae,Tarletonbeania crenularis,NA,1,1510.39,0.6620806547,
,105,1,oblique,winter,NH,3,MaD,17,Scorpaenidae,Sebastes spp.,NA,27,1510.39,17.87617768,With CR's fish
,105,1,oblique,winter,NH,3,MaD,1,Cottidae,Unknown,NA,2,1510.39,1.324161309,
,105,1,oblique,winter,NH,3,MaD,1,Pleuronectidae,Atherestes stomias,NA,2,1510.39,1.324161309,
,105,1,oblique,winter,NH,3,MaD,1,unknown,fish egg(s),NA,2,1510.39,1.324161309,
,105,1,oblique,winter,NH,3,MaD,1,Agonidae,Unknown,NA,2,1510.39,1.324161309,
,105,1,oblique,winter,NH,3,MaD,8,unknown,Damaged,NA,15,1510.39,9.93120982,
105-1-0*,105,1,0*,winter,NH,3,MaD,1,Myctophidae,Stenobrachius leucopsarus,NA,NA,NA,NA,
,105,1,0*,winter,NH,3,MaD,2,Scorpaenidae,Sebastes spp.,NA,NA,NA,NA,With CR's fish
105-1-4*,105,1,4*,winter,NH,3,MaD,0,no fish,no fish,NA,NA,NA,NA,
105-4-oblique,105,4,oblique,winter,NH,3,MaD,1,Bathylagidae,Lipolagus ochotensis,NA,2,6041.54,0.3310414232,
,105,4,oblique,winter,NH,3,MaD,1,Myctophidae,Tarletonbeania crenularis,NA,2,6041.54,0.3310414232,
,105,4,oblique,winter,NH,3,MaD,1,Paralichthyidae,Citharichthys sordidus,NA,2,6041.54,0.3310414232,
105-4-0*,105,4,0*,winter,NH,3,MaD,1,Myctophidae,Stenobrachius leucopsarus,NA,NA,NA,NA,
,105,4,0*,winter,NH,3,MaD,2,Myctophidae,Tarletonbeania crenularis,NA,NA,NA,NA,
,105,4,0*,winter,NH,3,MaD,2,Scorpaenidae,Sebastes spp.,NA,NA,NA,NA,With CR's fish
,105,4,0*,winter,NH,3,MaD,1,Cyclopteridae,Liparis spp.,NA,NA,NA,NA,
,105,4,0*,winter,NH,3,MaD,2,Paralichthyidae,Citharichthys stigmaeus,NA,NA,NA,NA,
,105,4,0*,winter,NH,3,MaD,2,unknown,fish egg(s),NA,NA,NA,NA,
,105,4,0*,winter,NH,3,MaD,1,unknown,Damaged,NA,NA,NA,NA,
106-1-0,106,1,0,winter,NH,1,MaD,8,Scorpaenidae,Sebastes spp.,2,16,401.51,39.84956788,With CR's fish
,106,1,0,winter,NH,1,MaD,1,Pleuronectidae,Parophrys vetulus,2,2,401.51,4.981195985,with EC's fish
106-1-0*,106,1,0*,winter,NH,1,MaD,1,Scorpaenidae,Sebastes spp.,NA,NA,NA,NA,With CR's fish
,106,1,0*,winter,NH,1,MaD,1,Pleuronectidae,Parophrys vetulus,NA,NA,NA,NA,with EC's fish
106-1-3,106,1,3,winter,NH,1,MaD,2,Scorpaenidae,Sebastes spp.,1,2,158.15,12.64622194,With CR's fish
,106,1,3,winter,NH,1,MaD,1,Pleuronectidae,Parophrys vetulus,1,1,158.15,6.323110971,"Several notes (oldest to most recent): 1. changed from unknown A, 2. taken to toby, 3. dried out and destroyed in sorting, 4. no fish in vial & not with EC"
,106,1,3,winter,NH,1,MaD,1,Agonidae,Unknown,1,1,158.15,6.323110971,
,106,1,3,winter,NH,1,MaD,1,Cottidae,Unknown,1,1,158.15,6.323110971,
,106,1,3,winter,NH,1,MaD,1,Pleuronectidae,Glyptocephalus zachirus,1,1,158.15,6.323110971,
106-1-4,106,1,4,winter,NH,1,MaD,7,Scorpaenidae,Sebastes spp.,2,14,224.82,62.27203985,With CR's fish
106-1-4*,106,1,4*,winter,NH,1,MaD,7,Scorpaenidae,Sebastes spp.,NA,NA,NA,NA,With CR's fish
,106,1,4*,winter,NH,1,MaD,1,Paralichthyidae,Citharichthys sordidus,NA,NA,NA,NA,
,106,1,4*,winter,NH,1,MaD,1,Pleuronectidae,Glyptocephalus zachirus,NA,NA,NA,NA,
106-4-0,106,4,0,winter,NH,1,MaD,24,Scorpaenidae,Sebastes spp.,1,24,1606.06,14.94340187,With CR's fish
,106,4,0,winter,NH,1,MaD,1,Cyclopteridae,Liparis fucensis,1,1,1606.06,0.6226417444,
,106,4,0,winter,NH,1,MaD,1,Pleuronectidae,Parophrys vetulus,1,1,1606.06,0.6226417444,with EC's fish
106-4-3,106,4,3,winter,NH,1,MaD,86,Scorpaenidae,Sebastes spp.,1,86,632.6,135.9468859,With CR's fish
,106,4,3,winter,NH,1,MaD,8,Pleuronectidae,Parophrys vetulus,1,8,632.6,12.64622194,with EC's fish
,106,4,3,winter,NH,1,MaD,4,unknown,fish egg(s),1,4,632.6,6.323110971,
106-4-4,106,4,4,winter,NH,1,MaD,2,Scorpaenidae,Sebastes spp.,1,2,899.28,2.224001423,With CR's fish
107-1-0,107,1,0,winter,TR,1,MaN,1,Myctophidae,Stenobrachius leucopsarus,1,1,,,
,107,1,0,winter,TR,1,MaN,1,Myctophidae,Tarletonbeania crenularis,1,1,,,
,107,1,0,winter,TR,1,MaN,21,Scorpaenidae,Sebastes spp.,1,21,,,With CR's fish
,107,1,0,winter,TR,1,MaN,1,Pleuronectidae,Lyopsetta exilis,1,1,,,
,107,1,0,winter,TR,1,MaN,1,Cottidae,Hemilepodotus spinosus,1,1,,,
,107,1,0,winter,TR,1,MaN,1,unknown,Damaged,1,1,,,
107-1-3,107,1,3,winter,TR,1,MaN,6,Myctophidae,Stenobrachius leucopsarus,1,6,,,
,107,1,3,winter,TR,1,MaN,5,Scorpaenidae,Sebastes spp.,1,5,,,With CR's fish
,107,1,3,winter,TR,1,MaN,1,Pleuronectidae,Lyopsetta exilis,1,1,,,
,107,1,3,winter,TR,1,MaN,1,Cottidae,Hemilepodotus spinosus,1,1,,,
107-1-4,107,1,4,winter,TR,1,MaN,3,Myctophidae,Stenobrachius leucopsarus,1,3,,,
,107,1,4,winter,TR,1,MaN,24,Scorpaenidae,Sebastes spp.,1,24,,,With CR's fish
,107,1,4,winter,TR,1,MaN,1,Pleuronectidae,Lyopsetta exilis,1,1,,,
,107,1,4,winter,TR,1,MaN,1,Cottidae,Hemilepodotus spinosus,1,1,,,
,107,1,4,winter,TR,1,MaN,1,unknown,Damaged,1,1,,,
107-4-0,107,4,0,winter,TR,1,MaN,1,Bathylagidae,Lipolagus ochotensis,1,1,,,
,107,4,0,winter,TR,1,MaN,2,Scorpaenidae,Sebastes spp.,1,2,,,With CR's fish
,107,4,0,winter,TR,1,MaN,1,Hexagrammidae,Ophiodon elongatus,1,1,,,
107-4-3,107,4,3,winter,TR,1,MaN,1,unknown,Damaged,1,1,,,
107-4-4,107,4,4,winter,TR,1,MaN,3,Scorpaenidae,Sebastes spp.,1,3,,,With CR's fish
108-1-0,108,1,0,winter,TR,3,MaN,1,Bathylagidae,Lipolagus ochotensis,1,1,,,
,108,1,0,winter,TR,3,MaN,9,Myctophidae,Stenobrachius leucopsarus,1,9,,,
,108,1,0,winter,TR,3,MaN,1,Myctophidae,Protomyctophum crockeri,1,1,,,
,108,1,0,winter,TR,3,MaN,21,Scorpaenidae,Sebastes spp.,1,21,,,With CR's fish
,108,1,0,winter,TR,3,MaN,1,Cottidae,Unknown,1,1,,,
,108,1,0,winter,TR,3,MaN,1,Cyclopteridae,Liparis spp.,1,1,,,
,108,1,0,winter,TR,3,MaN,3,unknown,Damaged,1,3,,,
108-1-1,108,1,1,winter,TR,3,MaN,1,Bathylagidae,Lipolagus ochotensis,1,1,,,
,108,1,1,winter,TR,3,MaN,1,Myctophidae,Protomyctophum crockeri,1,1,,,
,108,1,1,winter,TR,3,MaN,12,Scorpaenidae,Sebastes spp.,1,12,,,With CR's fish
,108,1,1,winter,TR,3,MaN,2,Pleuronectidae,Lyopsetta exilis,1,2,,,
,108,1,1,winter,TR,3,MaN,4,unknown,Damaged,1,4,,,
108-1-2,108,1,2,winter,TR,3,MaN,7,Myctophidae,Stenobrachius leucopsarus,1,7,,,
,108,1,2,winter,TR,3,MaN,4,Scorpaenidae,Sebastes spp.,1,4,,,With CR's fish
,108,1,2,winter,TR,3,MaN,1,Ptilichthyidae,Ptilichthys goodei,1,1,,,
,108,1,2,winter,TR,3,MaN,1,unknown,Damaged,1,1,,,
108-1-3,108,1,3,winter,TR,3,MaN,2,Bathylagidae,Lipolagus ochotensis,1,2,,,
,108,1,3,winter,TR,3,MaN,2,Myctophidae,Stenobrachius leucopsarus,1,2,,,
,108,1,3,winter,TR,3,MaN,4,Scorpaenidae,Sebastes spp.,1,4,,,With CR's fish
,108,1,3,winter,TR,3,MaN,2,unknown,Damaged,1,2,,,
108-1-4,108,1,4,winter,TR,3,MaN,3,Myctophidae,Stenobrachius leucopsarus,1,3,,,
,108,1,4,winter,TR,3,MaN,11,Scorpaenidae,Sebastes spp.,1,11,,,With CR's fish
,108,1,4,winter,TR,3,MaN,7,unknown,Damaged,1,7,,,
108-4-0,108,4,0,winter,TR,3,MaN,3,Bathylagidae,Lipolagus ochotensis,1,3,,,
,108,4,0,winter,TR,3,MaN,1,Myctophidae,Stenobrachius leucopsarus,1,1,,,juveniles
,108,4,0,winter,TR,3,MaN,2,Myctophidae,Protomyctophum crockeri,1,2,,,
,108,4,0,winter,TR,3,MaN,1,Scorpaenidae,Sebastes spp.,1,1,,,With CR's fish
,108,4,0,winter,TR,3,MaN,2,unknown,Damaged,1,2,,,
,108,4,0,winter,TR,3,MaN,1,Cottidae,Scorpaenichthys marmoratus,1,1,,,
108-4-1,108,4,1,winter,TR,3,MaN,2,Myctophidae,Stenobrachius leucopsarus,1,2,,,juveniles
,108,4,1,winter,TR,3,MaN,2,Myctophidae,Protomyctophum crockeri,1,2,,,
,108,4,1,winter,TR,3,MaN,1,Myctophidae,Tarletonbeania crenularis,1,1,,,
,108,4,1,winter,TR,3,MaN,5,Scorpaenidae,Sebastes spp.,1,5,,,With CR's fish
,108,4,1,winter,TR,3,MaN,1,unknown,Damaged,1,1,,,"could be Ptilichthys goodei, in very poor shape"
108-4-2,108,4,2,winter,TR,3,MaN,2,Bathylagidae,Lipolagus ochotensis,1,2,,,
,108,4,2,winter,TR,3,MaN,3,Myctophidae,Stenobrachius leucopsarus,1,3,,,juveniles
,108,4,2,winter,TR,3,MaN,2,Myctophidae,Stenobrachius leucopsarus,1,2,,,
,108,4,2,winter,TR,3,MaN,3,Scorpaenidae,Sebastes spp.,1,3,,,With CR's fish
,108,4,2,winter,TR,3,MaN,1,Pleuronectidae,Unknown,1,1,,,juvenile
108-4-3,108,4,3,winter,TR,3,MaN,1,Bathylagidae,Lipolagus ochotensis,1,1,,,
,108,4,3,winter,TR,3,MaN,3,Myctophidae,Stenobrachius leucopsarus,1,3,,,
,108,4,3,winter,TR,3,MaN,3,Scorpaenidae,Sebastes spp.,1,3,,,With CR's fish
,108,4,3,winter,TR,3,MaN,1,Paralichthyidae,Citharichthys stigmaeus,1,1,,,
,108,4,3,winter,TR,3,MaN,2,unknown,Damaged,1,2,,,
108-4-4,108,4,4,winter,TR,3,MaN,1,Myctophidae,Tarletonbeania crenularis,1,1,,,juvenile - so pretty
109-1-0,109,1,0,winter,TR,5,MaN,3,Myctophidae,Stenobrachius leucopsarus,1,3,,,juveniles
,109,1,0,winter,TR,5,MaN,1,Myctophidae,Stenobrachius leucopsarus,1,1,,,
,109,1,0,winter,TR,5,MaN,4,Myctophidae,Protomyctophum crockeri,1,4,,,
,109,1,0,winter,TR,5,MaN,287,Scorpaenidae,Sebastes spp.,1,287,,,With CR's fish
,109,1,0,winter,TR,5,MaN,14,Cottidae,Hemilepodotus spinosus,1,14,,,
,109,1,0,winter,TR,5,MaN,11,Cyclopteridae,Liparis spp.,1,11,,,
,109,1,0,winter,TR,5,MaN,2,Pleuronectidae,Parophrys vetulus,1,2,,,with EC's fish
,109,1,0,winter,TR,5,MaN,1,Cottidae,Scorpaenichthys marmoratus,1,1,,,
,109,1,0,winter,TR,5,MaN,37,unknown,Damaged,1,37,,,
109-1-1,109,1,1,winter,TR,5,MaN,1,Bathylagidae,Bathylagus pacificus,1,1,,,
,109,1,1,winter,TR,5,MaN,1,Myctophidae,Stenobrachius leucopsarus,1,1,,,juvenile
,109,1,1,winter,TR,5,MaN,12,Myctophidae,Protomyctophum crockeri,1,12,,,
,109,1,1,winter,TR,5,MaN,31,Scorpaenidae,Sebastes spp.,1,31,,,With CR's fish
,109,1,1,winter,TR,5,MaN,2,Cyclopteridae,Liparis fucensis,1,2,,,
,109,1,1,winter,TR,5,MaN,2,Pleuronectidae,Parophrys vetulus,1,2,,,with EC's fish
,109,1,1,winter,TR,5,MaN,8,unknown,Damaged,1,8,,,
109-1-2,109,1,2,winter,TR,5,MaN,1,Myctophidae,Stenobrachius leucopsarus,1,1,,,juvenile
,109,1,2,winter,TR,5,MaN,102,Scorpaenidae,Sebastes spp.,1,102,,,With CR's fish
,109,1,2,winter,TR,5,MaN,1,Cyclopteridae,Liparis spp.,1,1,,,
,109,1,2,winter,TR,5,MaN,4,Pleuronectidae,Parophrys vetulus,1,4,,,with EC's fish
,109,1,2,winter,TR,5,MaN,6,unknown,Damaged,1,6,,,
109-1-3,109,1,3,winter,TR,5,MaN,12,Cottidae,Hemilepodotus spinosus,1,12,,,
,109,1,3,winter,TR,5,MaN,1,Myctophidae,Stenobrachius leucopsarus,1,1,,,juvenile
,109,1,3,winter,TR,5,MaN,1,Myctophidae,Stenobrachius leucopsarus,1,1,,,
,109,1,3,winter,TR,5,MaN,1,Myctophidae,Tarletonbeania crenularis,1,1,,,juvenile - also very pretty
,109,1,3,winter,TR,5,MaN,505,Scorpaenidae,Sebastes spp.,1,505,,,With CR's fish
,109,1,3,winter,TR,5,MaN,1,Hexagrammidae,Ophiodon elongatus,1,1,,,
,109,1,3,winter,TR,5,MaN,2,Cyclopteridae,Liparis spp.,1,2,,,
,109,1,3,winter,TR,5,MaN,1,Pleuronectidae,Isopsetta isolepis,1,1,,,
,109,1,3,winter,TR,5,MaN,7,Pleuronectidae,Parophrys vetulus,1,7,,,with EC's fish
,109,1,3,winter,TR,5,MaN,34,unknown,Damaged,1,34,,,
109-1-4,109,1,4,winter,TR,5,MaN,1,Myctophidae,Stenobrachius leucopsarus,1,1,,,juvenile
,109,1,4,winter,TR,5,MaN,93,Scorpaenidae,Sebastes spp.,1,93,,,With CR's fish
,109,1,4,winter,TR,5,MaN,3,Cottidae,Hemilepodotus spinosus,1,3,,,
,109,1,4,winter,TR,5,MaN,1,Paralichthyidae,Citharichthys spp.,1,1,,,
,109,1,4,winter,TR,5,MaN,1,Pleuronectidae,Parophrys vetulus,1,1,,,with EC's fish
,109,1,4,winter,TR,5,MaN,9,unknown,Damaged,1,9,,,
109-4-0,109,4,0,winter,TR,5,MaN,5,Myctophidae,Stenobrachius leucopsarus,1,5,,,juveniles
,109,4,0,winter,TR,5,MaN,7,Myctophidae,Protomyctophum crockeri,1,7,,,
,109,4,0,winter,TR,5,MaN,7,Scorpaenidae,Sebastes spp.,1,7,,,With CR's fish
,109,4,0,winter,TR,5,MaN,3,Hexagrammidae,Ophiodon elongatus,1,3,,,
