haul,haul.number,moc,net.number,date,transect,station,family,genus,species,number.of.individuals.raw,split.multiplier,number.of.individuals.adjusted,volume.filtered.m3,concentration.1000m3,vial.letter,fish.box.location,id.by,notes
301,0301-1-4,1,4,2023/2/17,GH,4,Liparidae,Liparis,Liparis fucensis,1,2,2,,#DIV/0!,A,Hatfield,NH,
301,0301-1-4,1,4,2023/2/17,GH,4,Scorpaenidae,Sebastes,Sebastes spp.,1,2,2,,#DIV/0!,B,Hatfield,NH,
301,0301-1-4,1,4,2023/2/17,GH,4,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,1,2,2,,#DIV/0!,C,Hatfield,NH,
301,0301-1-4,1,4,2023/2/17,GH,4,Hexagrammidae,Hexagrammos,Hexagrammidae spp.,11,2,22,,#DIV/0!,D,Hatfield,NH,
301,301-4-0,4,0,2023/2/17,GH,4,Ammodytidae,Ammodytes,Ammodytes spp.,4,1,,,,A,Hatfield,NH,
301,301-4-0,4,0,2023/2/17,GH,4,Liparidae,Liparis,Liparis fucensis,1,1,,,,B,Hatfield,NH,
301,301-4-0,4,0,2023/2/17,GH,4,Cottidae,Scorpaenichthys,Scorpaenichthys marmoratus,1,1,,,,C,Hatfield,NH,
301,301-4-0,4,0,2023/2/17,GH,4,Scorpaenidae,Sebastes,Sebastes spp.,1,1,,,,D,Hatfield,NH,S. jordani?
301,0301-4-1,4,1,2023/2/17,GH,4,Myctophidae,Protomyctophum,Protomyctophum thompsoni,1,1,1,,#DIV/0!,A,Hatfield,NH,
301,0301-4-2,4,2,2023/2/17,GH,4,Liparidae,Liparis,Liparis fucensis,1,1,1,,#DIV/0!,A,Hatfield,NH,
301,0301-4-2,4,2,2023/2/17,GH,4,Myctophidae,Tarletonbeania,Tarletonbeania crenularis,1,1,1,,#DIV/0!,B,Hatfield,NH,
301,0301-4-3,4,3,2023/2/17,GH,4,Liparidae,Liparis,Liparis fucensis,2,1,2,,#DIV/0!,A,Hatfield,NH,
301,0301-4-3,4,3,2023/2/17,GH,4,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,3,1,3,,#DIV/0!,B,Hatfield,NH,
301,0301-4-3,4,3,2023/2/17,GH,4,Pleuronectidae,Atheresthes,Atheresthes stomias,2,1,2,,#DIV/0!,C,Hatfield,NH,
301,0301-4-4,4,4,2023/2/17,GH,4,Liparidae,Liparis,Liparis fucensis,1,1,1,,#DIV/0!,A,Hatfield,NH,
301,0301-4-4,4,4,2023/2/17,GH,4,Scorpaenidae,Sebastes,Sebastes spp.,3,1,3,,#DIV/0!,B,Hatfield,NH,
301,0301-4-4,4,4,2023/2/17,GH,4,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,3,1,3,,#DIV/0!,C,Hatfield,NH,
301,0301-4-4,4,4,2023/2/17,GH,4,Ammodytidae,Ammodytes,Ammodytes spp.,3,1,3,,#DIV/0!,D,Hatfield,NH,
301,0301-4-4,4,4,2023/2/17,GH,4,Hexagrammidae,Hexagrammidae spp.,Hexagrammidae spp.,50,1,50,,#DIV/0!,E,Hatfield,NH,
302,302-1-0,1,0,2023/2/17,GH,5,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,2,2,,,,A,Hatfield,NH,
302,302-1-0,1,0,2023/2/17,GH,5,Scorpaenidae,Sebastes,Sebastes spp.,1,2,,,,B,Hatfield,NH,
302,0302-1-1,1,1,2023/2/17,GH,5,No fish,No fish,No fish,0,1,,,,0,Hatfield,NH,
302,0302-1-2,1,2,2023/2/17,GH,5,No fish,No fish,No fish,0,1,,,,0,Hatfield,NH,
302,0302-1-3,1,3,2023/2/17,GH,5,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,15,1,,,,A,Hatfield,NH,
302,0302-1-4,1,4,2023/2/17,GH,5,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,12,2,,,,A,Hatfield,NH,
302,0302-1-4,1,4,2023/2/17,GH,5,Cottidae,Hemilepidotus,Hemilepidotus spinosus,2,2,,,,B,Hatfield,NH,
302,302-4-0,4,0,2023/2/17,GH,5,Cottidae,Hemilepidotus,Hemilepidotus spp.,4,1,,,,A,Hatfield,NH,
302,302-4-0,4,0,2023/2/17,GH,5,Liparidae,Liparis,Liparis spp.,1,1,,,,B,Hatfield,NH,some damage
302,0302-4-1,4,1,2023/2/17,GH,5,No fish,No fish,No fish,0,1,,,,0,Hatfield,NH,codend lost at sea
302,0302-4-2,4,2,2023/2/17,GH,5,No fish,No fish,No fish,0,1,,,,0,Hatfield,NH,
302,0302-4-3,4,3,2023/2/17,GH,5,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,1,1,,,,A,Hatfield,NH,
302,0302-4-3,4,3,2023/2/17,GH,5,Myctophidae,Myctophid ,Myctophid spp.,1,1,,,,B,Hatfield,NH,
302,0302-4-4,4,4,2023/2/17,GH,5,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,8,1,,,,A,Hatfield,NH,
302,0302-4-4,4,4,2023/2/17,GH,5,Paralichthyidae,Citharichthys,Citharichthys stigmaeus,1,1,,,,B,Hatfield,NH,
303,303-1-0,1,0,2023/2/17,GH,6,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,3,2,,,,A,Hatfield,NH,
303,303-1-0,1,0,2023/2/17,GH,6,Cottidae,Scorpaenichthys,Scorpaenichthys marmoratus,1,2,,,,B,Hatfield,NH,"somewhat lighter pigment than normal, could be H. spinosus"
303,0303-1-1,1,1,2023/2/17,GH,6,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,1,1,,,,A,Hatfield,NH,
303,0303-1-2,1,2,2023/2/17,GH,6,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,5,1,,,,A,Hatfield,NH,
303,0303-1-3,1,3,2023/2/17,GH,6,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,6,1,,,,A,Hatfield,NH,
303,0303-1-4,1,4,2023/2/17,GH,6,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,2,2,,,,A,Hatfield,NH,
303,303-4-0,4,0,2023/2/17,GH,6,Liparidae,Liparis,Liparis spp.,8,1,,,,A,Hatfield,NH,
303,303-4-0,4,0,2023/2/17,GH,6,Pleuronectidae,Parophrys,Parophrys vetulus,2,1,,,,B,Hatfield,NH,
303,303-4-0,4,0,2023/2/17,GH,6,Cottidae,Scorpaenichthys,Scorpaenichthys marmoratus,1,1,,,,C,Hatfield,NH,
303,303-4-0,4,0,2023/2/17,GH,6,Damaged,Damaged,Damaged,2,1,,,,D,,,
303,0303-4-1,4,1,2023/2/17,GH,6,No fish,No fish,No fish,0,1,,,,0,Hatfield,NH,"moc4 not cocked properly, no catch in nets"
303,0303-4-2,4,2,2023/2/17,GH,6,No fish,No fish,No fish,0,1,,,,0,Hatfield,NH,
303,0303-4-3,4,3,2023/2/17,GH,6,No fish,No fish,No fish,0,1,,,,0,Hatfield,NH,
303,0303-4-4,4,4,2023/2/17,GH,6,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,1,1,,,,A,Hatfield,NH,
304,304-1-0,1,0,2023/2/18,GH,3,Osmeridae,Osmerid spp.,Osmerid spp.,7,2,,,,A,Hatfield,NH,
304,304-1-0,1,0,2023/2/18,GH,3,Scorpaenidae,Sebastes,Sebastes spp.,19,2,,,,B,Hatfield,NH,
304,304-1-0,1,0,2023/2/18,GH,3,Pleuronectidae,Parophrys,Parophrys vetulus,1,2,,,,C,Hatfield,NH,
304,304-1-0,1,0,2023/2/18,GH,3,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,1,2,,,,D,Hatfield,NH,
304,304-1-0,1,0,2023/2/18,GH,3,Liparidae,Liparis,Liparis spp.,1,2,,,,E,Hatfield,NH,
304,304-1-0,1,0,2023/2/18,GH,3,Cottidae,Hemilepidotus,Hemilepidotus spinosus,3,2,,,,F,Hatfield,NH,
304,304-1-0,1,0,2023/2/18,GH,3,Damaged,Damaged,Damaged,4,2,,,,G,Hatfield,NH,
304,0304-1-1,1,1,2023/2/18,GH,3,Scorpaenidae,Sebastes,Sebastes spp.,8,1,8,,#DIV/0!,A,Hatfield,NH,
304,0304-1-2,1,2,2023/2/18,GH,3,Scorpaenidae,Sebastes,Sebastes spp.,1,1,1,,#DIV/0!,A,Hatfield,NH,
304,0304-1-2,1,2,2023/2/18,GH,3,Pleuronectidae,Parophrys,Parophrys vetulus,5,1,5,,#DIV/0!,B,Hatfield,NH,
304,0304-1-3,1,3,2023/2/18,GH,3,Liparidae,Liparis,Liparis fucensis,2,1,2,,#DIV/0!,A,Hatfield,EC,
304,0304-1-3,1,3,2023/2/18,GH,3,Pleuronectidae,Parophrys,Parophrys vetulus,3,1,3,,#DIV/0!,B,Hatfield,EC,
304,0304-1-3,1,3,2023/2/18,GH,3,Osmeridae,Osmerid spp.,Osmerid spp.,1,1,1,,#DIV/0!,C,Hatfield,EC,
304,0304-1-3,1,3,2023/2/18,GH,3,Agonidae,Agonidae spp.,Agonidae spp.,1,1,1,,#DIV/0!,D,Hatfield,EC,
304,0304-1-3,1,3,2023/2/18,GH,3,Damaged,Damaged,Damaged,5,1,5,,#DIV/0!,E,Hatfield,EC,
304,0304-1-3,1,3,2023/2/18,GH,3,Scorpaenidae,Sebastes,Sebastes spp.,40,1,40,,#DIV/0!,F,Hatfield,EC,
304,0304-1-4,1,4,2023/2/18,GH,3,Ammodytidae,Ammodytes,Ammodytes spp.,2,2,4,,#DIV/0!,A,Hatfield,NH,
304,0304-1-4,1,4,2023/2/18,GH,3,Pleuronectidae,Parophrys,Parophrys vetulus,14,2,28,,#DIV/0!,B,Hatfield,NH,
304,0304-1-4,1,4,2023/2/18,GH,3,Osmeridae,Osmerid spp.,Osmerid spp.,36,2,72,,#DIV/0!,C,Hatfield,NH,
304,0304-1-4,1,4,2023/2/18,GH,3,Pleuronectidae,Isopsetta,Isopsetta isolepis,2,2,4,,#DIV/0!,D,Hatfield,NH,
304,0304-1-4,1,4,2023/2/18,GH,3,Liparidae,Liparis,Liparis fucensis,1,2,2,,#DIV/0!,E,Hatfield,NH,
304,0304-1-4,1,4,2023/2/18,GH,3,Hexagrammidae,Hexagrammos,Hexagrammos octogrammus,1,2,2,,#DIV/0!,F,Hatfield,NH,
304,0304-1-4,1,4,2023/2/18,GH,3,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,2,2,4,,#DIV/0!,G,Hatfield,NH,
304,0304-1-4,1,4,2023/2/18,GH,3,Scorpaenidae,Sebastes,Sebastes spp.,33,2,66,,#DIV/0!,H,Hatfield,NH,
304,0304-1-4,1,4,2023/2/18,GH,3,Damaged,Damaged,Damaged,1,2,2,,#DIV/0!,I,Hatfield,NH,
304,304-4-0,4,0,2023/2/18,GH,3,Osmeridae,Osmerid spp.,Osmerid spp.,3,1,,,,A,Hatfield,NH,
304,304-4-0,4,0,2023/2/18,GH,3,Pleuronectidae,Parophrys,Parophrys vetulus,2,1,,,,B,Hatfield,NH,
304,304-4-0,4,0,2023/2/18,GH,3,Liparidae,Liparis,Liparis spp.,3,1,,,,C,Hatfield,NH,
304,304-4-0,4,0,2023/2/18,GH,3,Cottidae,Scorpaenichthys,Scorpaenichthys marmoratus,1,1,,,,D,Hatfield,NH,
304,304-4-0,4,0,2023/2/18,GH,3,Cottidae,Hemilepidotus,Hemilepidotus spinosus,1,1,,,,E,Hatfield,NH,
304,0304-4-1,4,1,2023/2/18,GH,3,No fish,No fish,No fish,0,1,0,,#DIV/0!,0,Hatfield,NH,
304,0304-4-2,4,2,2023/2/18,GH,3,Agonidae,Xeneretmus,Xeneretmus latifrons,1,1,1,,#DIV/0!,A,Hatfield,NH,
304,0304-4-3,4,3,2023/2/18,GH,3,Cottidae,Cottid spp.,Cottidae spp.,1,1,1,,#DIV/0!,A,Hatfield,EC,
304,0304-4-3,4,3,2023/2/18,GH,3,Pleuronectidae,Parophrys,Parophrys vetulus,3,1,3,,#DIV/0!,B,Hatfield,EC,
304,0304-4-3,4,3,2023/2/18,GH,3,Liparidae,Liparis,Liparis spp.,2,1,2,,#DIV/0!,C,Hatfield,EC,
304,0304-4-3,4,3,2023/2/18,GH,3,Osmeridae,Osmerid spp.,Osmerid spp.,7,1,7,,#DIV/0!,D,Hatfield,EC,
304,0304-4-4,4,4,2023/2/18,GH,3,Liparidae,Liparis,Liparis spp.,13,1,13,,#DIV/0!,A,Hatfield,EC,
304,0304-4-4,4,4,2023/2/18,GH,3,Pleuronectidae,Parophrys,Parophrys vetulus,35,1,35,,#DIV/0!,B,Hatfield,EC,
304,0304-4-4,4,4,2023/2/18,GH,3,Ammodytidae,Ammodytes,Ammodytes spp.,10,1,10,,#DIV/0!,C,Hatfield,EC,
304,0304-4-4,4,4,2023/2/18,GH,3,Osmeridae,Osmerid spp.,Osmerid spp.,10,1,10,,#DIV/0!,D,Hatfield,EC,
304,0304-4-4,4,4,2023/2/18,GH,3,Cottidae,Cottid spp.,Cottidae spp.,1,1,1,,#DIV/0!,E,Hatfield,EC,
304,0304-4-4,4,4,2023/2/18,GH,3,Damaged,Damaged,Damaged,2,1,2,,#DIV/0!,F,Hatfield,EC,
304,0304-4-4,4,4,2023/2/18,GH,3,Scorpaenidae,Sebastes,Sebastes spp.,4,1,4,,#DIV/0!,G,Hatfield,EC,
304,0304-4-4,4,4,2023/2/18,GH,3,Cottidae,Scorpaenichthys,Scorpaenichthys marmoratus,2,1,2,,#DIV/0!,H,Hatfield,EC,
304,0304-4-4,4,4,2023/2/18,GH,3,Cottidae,Hemilepidotus,Hemilepidotus spinosus,1,1,1,,#DIV/0!,J,Hatfield,EC,
304,0304-4-4,4,4,2023/2/18,GH,3,Hexagrammidae,Hexagrammidae spp.,Hexagrammidae spp.,3,1,3,,#DIV/0!,K,Hatfield,EC,
305,305-1-0,1,0,2023/2/18,GH,2,Ammodytidae,Ammodytes,Ammodytes spp.,3,2,,,,A,Hatfield,NH,
305,305-1-0,1,0,2023/2/18,GH,2,Pleuronectidae,Parophrys,Parophrys vetulus,16,2,,,,B,Hatfield,NH,
305,305-1-0,1,0,2023/2/18,GH,2,Osmeridae,Osmerid spp.,Osmerid spp.,6,2,,,,C,Hatfield,NH,
305,305-1-0,1,0,2023/2/18,GH,2,Cottidae,Hemilepidotus,Hemilepidotus spinosus,4,2,,,,D,Hatfield,NH,
305,305-1-0,1,0,2023/2/18,GH,2,Cottidae,Cottid spp.,Cottidae spp.,2,2,,,,E,Hatfield,NH,
305,305-1-0,1,0,2023/2/18,GH,2,Liparidae,Liparis,Liparis spp.,3,2,,,,F,Hatfield,NH,
305,305-1-0,1,0,2023/2/18,GH,2,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,2,2,,,,G,Hatfield,NH,
305,305-1-0,1,0,2023/2/18,GH,2,Damaged,Damaged,Damaged,4,2,,,,H,Hatfield,NH,
305,0305-1-2,1,2,2023/2/18,GH,2,No fish,No fish,No fish,0,1,0,,#DIV/0!,0,Hatfield,NH,
305,0305-1-3,1,3,2023/2/18,GH,2,Osmeridae,Osmerid spp.,Osmerid spp.,2,1,2,,#DIV/0!,A,Hatfield,NH,
305,0305-1-3,1,3,2023/2/18,GH,2,Pleuronectidae,Parophrys,Parophrys vetulus,4,1,4,,#DIV/0!,B,Hatfield,NH,
305,0305-1-3,1,3,2023/2/18,GH,2,Liparidae,Liparis,Liparis spp.,1,1,1,,#DIV/0!,C,Hatfield,NH,
305,0305-1-3,1,3,2023/2/18,GH,2,Pleuronectidae,Isopsetta,Isopsetta isolepis,1,1,1,,#DIV/0!,D,Hatfield,NH,
305,0305-1-3,1,3,2023/2/18,GH,2,Pleuronectidae,Lyopsetta,Lyopsetta exilis,1,1,1,,#DIV/0!,E,Hatfield,NH,
305,0305-1-3,1,3,2023/2/18,GH,2,Scorpaenidae,Sebastes,Sebastes spp.,1,1,1,,#DIV/0!,F,Hatfield,NH,
305,0305-1-3,1,3,2023/2/18,GH,2,Unknown,Unknown,Unknown,1,1,1,,#DIV/0!,G,Hatfield,NH,unpigmented eyes
305,0305-1-3,1,3,2023/2/18,GH,2,Damaged,Damaged,Damaged,2,1,2,,#DIV/0!,H,Hatfield,NH,
305,0305-1-4,1,4,2023/2/18,GH,2,Osmeridae,Osmerid spp.,Osmerid spp.,5,2,10,,#DIV/0!,A,Hatfield,EC,
305,0305-1-4,1,4,2023/2/18,GH,2,Pleuronectidae,Parophrys,Parophrys vetulus,28,2,56,,#DIV/0!,B,Hatfield,EC,
305,0305-1-4,1,4,2023/2/18,GH,2,Liparidae,Liparis,Liparis spp.,3,2,6,,#DIV/0!,C,Hatfield,EC,
305,0305-1-4,1,4,2023/2/18,GH,2,Ammodytidae,Ammodytes,Ammodytes spp.,3,2,6,,#DIV/0!,D,Hatfield,EC,
305,0305-1-4,1,4,2023/2/18,GH,2,Cottidae,Cottid spp.,Cottidae spp.,1,2,2,,#DIV/0!,E,Hatfield,EC,
305,0305-1-4,1,4,2023/2/18,GH,2,Damaged,Damaged,Damaged,3,2,6,,#DIV/0!,F,Hatfield,EC,
305,0305-1-4,1,4,2023/2/18,GH,2,Pleuronectidae,Isopsetta,Isopsetta isolepis,2,2,4,,#DIV/0!,G,Hatfield,EC,
305,0305-1-4,1,4,2023/2/18,GH,2,Pleuronectidae,Psettichthys,Psettichthys melanostictus,1,2,2,,#DIV/0!,H,Hatfield,EC,
305,0305-1-4,1,4,2023/2/18,GH,2,Gobiidae,Gobiidae spp.,Gobiidae spp.,1,2,2,,#DIV/0!,J,Hatfield,EC,
305,0305-1-4,1,4,2023/2/18,GH,2,Scorpaenidae,Sebastes,Sebastes spp.,5,2,10,,#DIV/0!,K,Hatfield,EC,
305,0305-1-4,1,4,2023/2/18,GH,2,Cottidae,Hemilepidotus,Hemilepidotus spinosus,1,2,2,,#DIV/0!,L,Hatfield,EC,
305,305-4-0,4,0,2023/2/18,GH,2,Ammodytidae,Ammodytes,Ammodytes spp.,33,1,,,,A,Hatfield,NH,
305,305-4-0,4,0,2023/2/18,GH,2,Pleuronectidae,Parophrys,Parophrys vetulus,73,1,,,,B,Hatfield,NH,
305,305-4-0,4,0,2023/2/18,GH,2,Osmeridae,Osmerid spp.,Osmerid spp.,1,1,,,,C,Hatfield,NH,
305,305-4-0,4,0,2023/2/18,GH,2,Liparidae,Liparis,Liparis spp.,1,1,,,,D,Hatfield,NH,
305,305-4-0,4,0,2023/2/18,GH,2,Cottidae,Hemilepidotus,Hemilepidotus spp.,3,1,,,,E,Hatfield,NH,
305,305-4-0,4,0,2023/2/18,GH,2,Hexagrammidae,Ophiodon,Ophiodon elongatus,1,1,,,,F,Hatfield,NH,
305,305-4-0,4,0,2023/2/18,GH,2,Hexagrammidae,Hexagrammos,Hexagrammos lagocephalus,1,1,,,,G,Hatfield,NH,
305,305-4-0,4,0,2023/2/18,GH,2,Damaged,Damaged,Damaged,15,1,,,,H,Hatfield,NH,
305,0305-4-2,4,2,2023/2/18,GH,2,Pleuronectidae,Parophrys,Parophrys vetulus,1,1,1,,#DIV/0!,A,Hatfield,NH,
305,0305-4-2,4,2,2023/2/18,GH,2,Damaged,Damaged,Damaged,1,1,1,,#DIV/0!,B,Hatfield,NH,
305,0305-4-3,4,3,2023/2/18,GH,2,Ammodytidae,Ammodytes,Ammodytes spp.,1,1,1,,#DIV/0!,A,Hatfield,NH,
305,0305-4-3,4,3,2023/2/18,GH,2,Pleuronectidae,Parophrys,Parophrys vetulus,32,1,32,,#DIV/0!,B,Hatfield,NH,
305,0305-4-3,4,3,2023/2/18,GH,2,Osmeridae,Osmerid spp.,Osmerid spp.,3,1,3,,#DIV/0!,C,Hatfield,NH,
305,0305-4-3,4,3,2023/2/18,GH,2,Liparidae,Liparis,Liparis spp.,1,1,1,,#DIV/0!,D,Hatfield,NH,
305,0305-4-3,4,3,2023/2/18,GH,2,Pleuronectidae,Isopsetta,Isopsetta isolepis,1,1,1,,#DIV/0!,E,Hatfield,NH,
305,0305-4-3,4,3,2023/2/18,GH,2,Damaged,Damaged,Damaged,3,1,3,,#DIV/0!,F,Hatfield,NH,
305,0305-4-4,4,4,2023/2/18,GH,2,Ammodytidae,Ammodytes,Ammodytes spp.,14,1,14,,#DIV/0!,A,Hatfield,NH,
305,0305-4-4,4,4,2023/2/18,GH,2,Pleuronectidae,Parophrys,Parophrys vetulus,55,1,55,,#DIV/0!,B,Hatfield,NH,
305,0305-4-4,4,4,2023/2/18,GH,2,Osmeridae,Osmerid spp.,Osmerid spp.,8,1,8,,#DIV/0!,C,Hatfield,NH,
305,0305-4-4,4,4,2023/2/18,GH,2,Pleuronectidae,Isopsetta,Isopsetta isolepis,1,1,1,,#DIV/0!,D,Hatfield,NH,
305,0305-4-4,4,4,2023/2/18,GH,2,Liparidae,Liparis,Liparis spp.,1,1,1,,#DIV/0!,E,Hatfield,NH,
305,0305-4-4,4,4,2023/2/18,GH,2,Hexagrammidae,Hexagrammidae spp.,Hexagrammidae spp.,2,1,2,,#DIV/0!,F,Hatfield,NH,
305,0305-4-4,4,4,2023/2/18,GH,2,Damaged,Damaged,Damaged,7,1,7,,#DIV/0!,G,Hatfield,NH,
306,306-1-0,1,0,2023/2/18,GH,1,Osmeridae,Osmerid spp.,Osmerid spp.,530,2,,,,A,Hatfield,NH,
306,306-1-0,1,0,2023/2/18,GH,1,Pleuronectidae,Parophrys,Parophrys vetulus,248,2,,,,B,Hatfield,NH,
306,306-1-0,1,0,2023/2/18,GH,1,Pleuronectidae,Psettichthys,Psettichthys melanostictus,35,2,,,,C,Hatfield,NH,
306,306-1-0,1,0,2023/2/18,GH,1,Pleuronectidae,Isopsetta,Isopsetta isolepis,345,2,,,,D,Hatfield,NH,
306,306-1-0,1,0,2023/2/18,GH,1,Ammodytidae,Ammodytes,Ammodytes spp.,8,2,,,,E,Hatfield,NH,
306,306-1-0,1,0,2023/2/18,GH,1,Cottidae,Cottid spp.,Cottidae spp.,27,2,,,,F,Hatfield,NH,
306,306-1-0,1,0,2023/2/18,GH,1,Pholidae,Pholidae spp.,Pholidae spp.,29,2,,,,G,Hatfield,NH,
306,306-1-0,1,0,2023/2/18,GH,1,Gadidae,Microgadus,Microgadus proximus,75,2,,,,H,Hatfield,NH,
306,306-1-0,1,0,2023/2/18,GH,1,Damaged,Damaged,Damaged,59,2,,,,I,Hatfield,NH,
306,306-1-0,1,0,2023/2/18,GH,1,Liparidae,Liparis,Liparis spp.,2,2,,,,J,Hatfield,NH,
306,306-1-0,1,0,2023/2/18,GH,1,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,1,2,,,,K,Hatfield,NH,
306,306-1-0,1,0,2023/2/18,GH,1,Unknown,Unknown,Unknown,8,2,,,,L,Hatfield,NH,unpigmented eyes
306,0306-1-3,1,3,2023/2/18,GH,1,Osmeridae,Osmerid spp.,Osmerid spp.,55,1,55,,#DIV/0!,A,Hatfield,NH,
306,0306-1-3,1,3,2023/2/18,GH,1,Pleuronectidae,Parophrys,Parophrys vetulus,26,1,26,,#DIV/0!,B,Hatfield,NH,
306,0306-1-3,1,3,2023/2/18,GH,1,Pleuronectidae,Isopsetta,Isopsetta isolepis,16,1,16,,#DIV/0!,C,Hatfield,NH,
306,0306-1-3,1,3,2023/2/18,GH,1,Pholidae,Pholidae spp.,Pholidae spp.,2,1,2,,#DIV/0!,D,Hatfield,NH,
306,0306-1-3,1,3,2023/2/18,GH,1,Cottidae,Cottid spp.,Cottidae spp.,3,1,3,,#DIV/0!,E,Hatfield,NH,
306,0306-1-3,1,3,2023/2/18,GH,1,Unknown,Unknown,Unknown,15,1,15,,#DIV/0!,F,Hatfield,NH,yolk sack and unpigmented eyes
306,0306-1-3,1,3,2023/2/18,GH,1,Gadidae,Microgadus,Microgadus proximus,5,1,5,,#DIV/0!,G,Hatfield,NH,
306,0306-1-3,1,3,2023/2/18,GH,1,Damaged,Damaged,Damaged,7,1,7,,#DIV/0!,H,Hatfield,NH,
306,0306-1-4,1,4,2023/2/18,GH,1,Osmeridae,Osmerid spp.,Osmerid spp.,533,2,1066,,#DIV/0!,A,Hatfield,NH,
306,0306-1-4,1,4,2023/2/18,GH,1,Pleuronectidae,Parophrys,Parophrys vetulus,236,2,472,,#DIV/0!,B,Hatfield,NH,
306,0306-1-4,1,4,2023/2/18,GH,1,Pleuronectidae,Psettichthys,Psettichthys melanostictus,21,2,42,,#DIV/0!,C,Hatfield,NH,
306,0306-1-4,1,4,2023/2/18,GH,1,Pleuronectidae,Isopsetta,Isopsetta isolepis,324,2,648,,#DIV/0!,D,Hatfield,NH,
306,0306-1-4,1,4,2023/2/18,GH,1,Pholidae,Pholidae spp.,Pholidae spp.,22,2,44,,#DIV/0!,E,Hatfield,NH,
306,0306-1-4,1,4,2023/2/18,GH,1,Gadidae,Microgadus,Microgadus proximus,39,2,78,,#DIV/0!,F,Hatfield,NH,
306,0306-1-4,1,4,2023/2/18,GH,1,Cottidae,Cottid spp.,Cottidae spp.,29,2,58,,#DIV/0!,G,Hatfield,NH,
306,0306-1-4,1,4,2023/2/18,GH,1,Ammodytidae,Ammodytes,Ammodytes spp.,10,2,20,,#DIV/0!,H,Hatfield,NH,
306,0306-1-4,1,4,2023/2/18,GH,1,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,2,2,4,,#DIV/0!,I,Hatfield,NH,
306,0306-1-4,1,4,2023/2/18,GH,1,Liparidae,Liparis,Liparis spp.,4,2,8,,#DIV/0!,J,Hatfield,NH,
306,0306-1-4,1,4,2023/2/18,GH,1,Damaged,Damaged,Damaged,106,2,212,,#DIV/0!,K,Hatfield,NH,
