Haul.no,Haul,Moc,Net.no,Season,Location,Station,Transect,no.individuals.raw,family,species,split.mult,no.individuals,vial label,volume.filtered.m3,concentration.1000m3,notes
,302,4,3,winter,NH,2,MaN,2,Scorpenidae,Sebastes spp.,NA,2,c,,,
,302,4,3,winter,NH,2,MaN,1,Stichaeidae,Chirolophis spp.,NA,1,d,,,
,302,4,3,winter,NH,2,MaN,5,Ammodytidae,Ammodytes spp.,NA,5,e,,,
,302,4,3,winter,NH,2,MaN,1,Hexagrammidae,Ophiodon elongatus,NA,1,f,,,
,302,4,3,winter,NH,2,MaN,1,Paralichthyidae,Citharichthys sordidus,NA,1,g,,,
,302,4,3,winter,NH,2,MaN,1,Pleuronectidae,Psettichthys melanostictus,NA,1,h,,,
,302,4,3,winter,NH,2,MaN,1,Pleuronectidae,Lepidopsetta bilineata,NA,1,i,,,
302-4-4,302,4,4,winter,NH,2,MaN,7,Pleuronectidae,Parophrys vetulus,NA,7,a,,,
,302,4,4,winter,NH,2,MaN,6,Scorpenidae,Sebastes spp.,NA,6,b,,,
,302,4,4,winter,NH,2,MaN,12,unknown,Fish eggs,NA,12,c,,,
,302,4,4,winter,NH,2,MaN,1,Pleuronectidae,Glyptocephalus zachirus,NA,1,d,,,
,302,4,4,winter,NH,2,MaN,1,Paralichthyidae,Citharichthys stigmaeus,NA,1,e,,,
,302,4,4,winter,NH,2,MaN,2,Bathymasteridae,Ronquilus jordani,NA,2,f,,,
,302,4,4,winter,NH,2,MaN,1,Hexagrammidae,Ophiodon elongatus,NA,1,g,,,
,302,4,4,winter,NH,2,MaN,2,unknown,Damaged,NA,2,h,,,
,302,4,4,winter,NH,2,MaN,1,Pleuronectidae,Isopsetta isolepis,NA,1,i,,,
303-1-0,303,1,0,winter,NH,3,MaN,10,Scorpenidae,Sebastes spp.,NA,10,a,,,
,303,1,0,winter,NH,3,MaN,5,Pleuronectidae,Glyptocephalus zachirus,NA,5,b,,,
,303,1,0,winter,NH,3,MaN,9,unknown,Fish eggs,NA,9,c,,,
,303,1,0,winter,NH,3,MaN,10,Pleuronectidae,Parophrys vetulus,NA,10,d,,,
,303,1,0,winter,NH,3,MaN,4,Myctophidae,Stenobrachius leucopsarus,NA,4,e,,,
,303,1,0,winter,NH,3,MaN,5,Paralichthyidae,Citharichthys sordidus,NA,5,f,,,
,303,1,0,winter,NH,3,MaN,1,Pleuronectidae,Lyopsetta exilis,NA,1,g,,,
,303,1,0,winter,NH,3,MaN,1,Bathymasteridae,Ronquilus jordani,NA,1,h,,,
,303,1,0,winter,NH,3,MaN,2,unknown,Damaged,NA,2,i,,,
,303,1,0,winter,NH,3,MaN,1,Pleuronectidae,Pleuronichthys decurrens,NA,1,j,,,
303-1-1,303,1,1,winter,NH,3,MaN,28,Pleuronectidae,Parophrys vetulus,NA,28,a,,,
,303,1,1,winter,NH,3,MaN,13,Scorpenidae,Sebastes spp.,NA,13,b,,,
,303,1,1,winter,NH,3,MaN,7,Cyclopteridae,Liparis fucensis,NA,7,c,,,
,303,1,1,winter,NH,3,MaN,2,Pleuronectidae,Lyopsetta exilis,NA,2,d,,,
,303,1,1,winter,NH,3,MaN,1,Myctophidae,Tarletonbeania crenularis,NA,1,e,,,
,303,1,1,winter,NH,3,MaN,1,unknown,Fish eggs,NA,1,f,,,
,303,1,1,winter,NH,3,MaN,1,Cottidae,Radulinus asprellus,NA,1,g,,,
,303,1,1,winter,NH,3,MaN,1,unknown,Damaged,NA,1,h,,,
303-1-2,303,1,2,winter,NH,3,MaN,74,Pleuronectidae,Parophrys vetulus,NA,74,a,,,
,303,1,2,winter,NH,3,MaN,4,Scorpenidae,Sebastes spp.,NA,4,b,,,
,303,1,2,winter,NH,3,MaN,5,Cyclopteridae,Liparis fucensis,NA,5,c,,,dessicated and refilled 2025/09/29
,303,1,2,winter,NH,3,MaN,3,Myctophidae,Stenobrachius leucopsarus,NA,3,d,,,
,303,1,2,winter,NH,3,MaN,3,unknown,Damaged,NA,3,e,,,
,303,1,2,winter,NH,3,MaN,1,unknown,Fish eggs,NA,1,f,,,
,303,1,2,winter,NH,3,MaN,3,Pleuronectidae,Isopsetta isolepis,NA,3,g,,,
,303,1,2,winter,NH,3,MaN,1,Pleuronectidae,Psettichthys melanostictus,NA,1,h,,,
,303,1,2,winter,NH,3,MaN,1,Paralichthyidae,Citharichthys sordidus,NA,1,i,,,
303-1-3,303,1,3,winter,NH,3,MaN,124,Pleuronectidae,Parophrys vetulus,NA,124,a,,,
,303,1,3,winter,NH,3,MaN,1,Cyclopteridae,Liparis fucensis,NA,1,b,,,
,303,1,3,winter,NH,3,MaN,2,Bathylagidae,Lipolagus ochotensis,NA,2,c,,,
,303,1,3,winter,NH,3,MaN,6,Myctophidae,Stenobrachius leucopsarus,NA,6,d,,,
,303,1,3,winter,NH,3,MaN,8,unknown,Damaged,NA,8,e,,,
,303,1,3,winter,NH,3,MaN,3,Scorpenidae,Sebastes spp.,NA,3,f,,,
,303,1,3,winter,NH,3,MaN,2,Ammodytidae,Ammodytes spp.,NA,2,g,,,
,303,1,3,winter,NH,3,MaN,1,Myctophidae,Nannobrachium spp.,NA,1,h,,,
,303,1,3,winter,NH,3,MaN,1,Cottidae,Cottidae spp.,NA,1,i,,,
,303,1,3,winter,NH,3,MaN,3,Paralichthyidae,Citharichthys sordidus,NA,3,j,,,
,303,1,3,winter,NH,3,MaN,4,Pleuronectidae,Isopsetta isolepis,NA,4,k,,,
,303,1,3,winter,NH,3,MaN,3,Pleuronectidae,Psettichthys melanostictus,NA,3,l,,,
303-1-4,303,1,4,winter,NH,3,MaN,5,Scorpenidae,Sebastes spp.,NA,5,a,,,
,303,1,4,winter,NH,3,MaN,10,Pleuronectidae,Parophrys vetulus,NA,10,b,,,
,303,1,4,winter,NH,3,MaN,6,unknown,Damaged,NA,6,c,,,
,303,1,4,winter,NH,3,MaN,3,unknown,Fish eggs,NA,3,d,,,
,303,1,4,winter,NH,3,MaN,1,Ammodytidae,Ammodytes spp.,NA,1,e,,,
,303,1,4,winter,NH,3,MaN,1,Hexagrammidae,Ophiodon elongatus,NA,1,f,,,
,303,1,4,winter,NH,3,MaN,1,Pleuronectidae,Glyptocephalus zachirus,NA,1,g,,,
,303,1,4,winter,NH,3,MaN,3,Paralichthyidae,Citharichthys spp.,NA,3,h,,,
,303,1,4,winter,NH,3,MaN,1,Pleuronectidae,Psettichthys melanostictus,NA,1,i,,,
303-4-0,303,4,0,winter,NH,3,MaN,69,Pleuronectidae,Parophrys vetulus,NA,69,a,,,
,303,4,0,winter,NH,3,MaN,17,unknown,Fish eggs,NA,17,b,,,
,303,4,0,winter,NH,3,MaN,4,Cyclopteridae,Liparis fucensis,NA,4,c,,,
,303,4,0,winter,NH,3,MaN,2,Pleuronectidae,Glyptocephalus zachirus,NA,2,d,,,
,303,4,0,winter,NH,3,MaN,5,Scorpenidae,Sebastes spp.,NA,5,e,,,
,303,4,0,winter,NH,3,MaN,6,Hexagrammidae,Ophiodon elongatus,NA,6,f,,,
,303,4,0,winter,NH,3,MaN,1,Bathylagidae,Lipolagus ochotensis,NA,1,g,,,
,303,4,0,winter,NH,3,MaN,1,Myctophidae,Nannobrachium regalis,NA,1,h,,,
,303,4,0,winter,NH,3,MaN,1,Myctophidae,Tarletonbeania crenularis,NA,1,i,,,
,303,4,0,winter,NH,3,MaN,1,Pleuronectidae,Psettichthys melanostictus,NA,1,j,,,
,303,4,0,winter,NH,3,MaN,6,Pleuronectidae,Isopsetta isolepis,NA,6,k,,,
,303,4,0,winter,NH,3,MaN,1,Pleuronectidae,Lepidopsetta bilineata,NA,1,l,,,
,303,4,0,winter,NH,3,MaN,3,unknown,Damaged,NA,3,m,,,
303-4-1,303,4,1,winter,NH,3,MaN,46,Pleuronectidae,Parophrys vetulus,NA,46,a,,,
,303,4,1,winter,NH,3,MaN,7,Cyclopteridae,Liparis fucensis,NA,7,b,,,
,303,4,1,winter,NH,3,MaN,5,unknown,Damaged,NA,5,c,,,
303-4-2,303,4,2,winter,NH,3,MaN,88,Pleuronectidae,Parophrys vetulus,NA,88,a,,,
,303,4,2,winter,NH,3,MaN,14,Cyclopteridae,Liparis fucensis,NA,14,b,,,
,303,4,2,winter,NH,3,MaN,1,Bathylagidae,Lipolagus ochotensis,NA,1,c,,,
,303,4,2,winter,NH,3,MaN,1,Ammodytidae,Ammodytes spp.,NA,1,d,,,
,303,4,2,winter,NH,3,MaN,1,Scorpenidae,Sebastes spp.,NA,1,e,,,
,303,4,2,winter,NH,3,MaN,16,unknown,Damaged,NA,16,f,,,
303-4-3,303,4,3,winter,NH,3,MaN,178,Pleuronectidae,Parophrys vetulus,NA,178,a,,,
,303,4,3,winter,NH,3,MaN,23,unknown,Damaged,NA,23,b,,,
,303,4,3,winter,NH,3,MaN,7,Bathylagidae,Lipolagus ochotensis,NA,7,c,,,
,303,4,3,winter,NH,3,MaN,2,Cyclopteridae,Liparis fucensis,NA,2,d,,,
,303,4,3,winter,NH,3,MaN,5,Hexagrammidae,Ophiodon elongatus,NA,5,e,,,
,303,4,3,winter,NH,3,MaN,3,Pleuronectidae,Glyptocephalus zachirus,NA,3,f,,,
,303,4,3,winter,NH,3,MaN,1,Scorpenidae,Sebastes spp.,NA,1,g,,,
,303,4,3,winter,NH,3,MaN,1,Myctophidae,Stenobrachius leucopsarus,NA,1,h,,,
,303,4,3,winter,NH,3,MaN,1,Pleuronectidae,Lyopsetta exilis,NA,1,i,,,
,303,4,3,winter,NH,3,MaN,1,Paralichthyidae,Citharichthys sordidus,NA,1,j,,,
,303,4,3,winter,NH,3,MaN,3,Pleuronectidae,Psettichthys melanostictus,NA,3,k,,,
,303,4,3,winter,NH,3,MaN,2,Pleuronectidae,Isopsetta isolepis,NA,2,l,,,
,303,4,3,winter,NH,3,MaN,1,Ammodytidae,Ammodytes spp.,NA,1,m,,,
,303,4,3,winter,NH,3,MaN,1,Stichaeidae,Stichaeidae spp.,NA,1,n,,,
,303,4,3,winter,NH,3,MaN,1,unknown,Unknown,NA,1,o,,,
303-4-4,303,4,4,winter,NH,3,MaN,205,Pleuronectidae,Parophrys vetulus,NA,205,a,,,
,303,4,4,winter,NH,3,MaN,22,Scorpenidae,Sebastes spp.,NA,22,b,,,
,303,4,4,winter,NH,3,MaN,18,Pleuronectidae,Glyptocephalus zachirus,NA,18,c,,,
,303,4,4,winter,NH,3,MaN,28,unknown,Fish eggs,NA,28,d,,,
,303,4,4,winter,NH,3,MaN,8,Cottidae,Cottidae spp.,NA,8,e,,,
,303,4,4,winter,NH,3,MaN,15,Hexagrammidae,Ophiodon elongatus,NA,15,f,,,
,303,4,4,winter,NH,3,MaN,2,Bathylagidae,Lipolagus ochotensis,NA,2,g,,,
,303,4,4,winter,NH,3,MaN,5,Ammodytidae,Ammodytes spp.,NA,5,h,,,
,303,4,4,winter,NH,3,MaN,6,Paralichthyidae,Citharichthys sordidus,NA,6,i,,,
,303,4,4,winter,NH,3,MaN,10,Pleuronectidae,Isopsetta isolepis,NA,10,j,,,
,303,4,4,winter,NH,3,MaN,23,Pleuronectidae,Psettichthys melanostictus,NA,23,k,,,
,303,4,4,winter,NH,3,MaN,9,unknown,Damaged,NA,9,l,,,
304-1-0,304,1,0,winter,NH,4,MaN,130,Scorpenidae,Sebastes spp.,NA,130,a,,,
,304,1,0,winter,NH,4,MaN,1,Bathylagidae,Lipolagus ochotensis,NA,1,b,,,
,304,1,0,winter,NH,4,MaN,6,Myctophidae,Stenobrachius leucopsarus,NA,6,c,,,
,304,1,0,winter,NH,4,MaN,8,unknown,Damaged,NA,8,d,,,
,304,1,0,winter,NH,4,MaN,2,unknown,Fish eggs,NA,2,e,,,
,304,1,0,winter,NH,4,MaN,1,Cyclopteridae,Liparis fucensis,NA,1,f,,,
,304,1,0,winter,NH,4,MaN,1,Pleuronectidae,Glyptocephalus zachirus,NA,1,g,,,
,304,1,0,winter,NH,4,MaN,1,unknown,Unknown,NA,1,h,,,
,304,1,0,winter,NH,4,MaN,1,unknown,Damaged,NA,1,i,,,
,304,1,0,winter,NH,4,MaN,1,Myctophidae,Nannobrachium regalis,NA,1,j,,,
304-1-1,304,1,1,winter,NH,4,MaN,1,Myctophidae,Diaphus theta,NA,1,a,,,juvenile
,304,1,1,winter,NH,4,MaN,50,Scorpenidae,Sebastes spp.,NA,50,b,,,
,304,1,1,winter,NH,4,MaN,3,Myctophidae,Protomyctophum crockeri,NA,3,c,,,
,304,1,1,winter,NH,4,MaN,1,Paralepididae,Lestidiops ringens,NA,1,d,,,
,304,1,1,winter,NH,4,MaN,2,Myctophidae,Stenobrachius leucopsarus,NA,2,e,,,
,304,1,1,winter,NH,4,MaN,2,unknown,Damaged,NA,2,f,,,
,304,1,1,winter,NH,4,MaN,1,Pleuronectidae,Psettichthys melanostictus,NA,1,g,,,
,304,1,1,winter,NH,4,MaN,1,unknown,Unknown,NA,1,h,,,
304-1-2,304,1,2,winter,NH,4,MaN,1,Myctophidae,Diaphus theta,NA,1,a,,,juvenile
,304,1,2,winter,NH,4,MaN,115,Scorpenidae,Sebastes spp.,NA,115,b,,,
,304,1,2,winter,NH,4,MaN,18,Myctophidae,Stenobrachius leucopsarus,NA,18,c,,,
,304,1,2,winter,NH,4,MaN,1,Bathylagidae,Lipolagus ochotensis,NA,1,d,,,
,304,1,2,winter,NH,4,MaN,8,unknown,Damaged,NA,8,e,,,
,304,1,2,winter,NH,4,MaN,1,unknown,Unknown,NA,1,f,,,
,304,1,2,winter,NH,4,MaN,1,Chauliodontidae,Chauliodus macouni,NA,1,g,,,
304-1-3,304,1,3,winter,NH,4,MaN,206,Scorpenidae,Sebastes spp.,NA,206,a,,,
,304,1,3,winter,NH,4,MaN,58,Myctophidae,Stenobrachius leucopsarus,NA,58,b,,,
,304,1,3,winter,NH,4,MaN,2,Bathylagidae,Lipolagus ochotensis,NA,2,c,,,
,304,1,3,winter,NH,4,MaN,2,Pleuronectidae,Parophrys vetulus,NA,2,d,,,
,304,1,3,winter,NH,4,MaN,2,Paralichthyidae,Citharichthys stigmaeus,NA,2,e,,,
,304,1,3,winter,NH,4,MaN,31,unknown,Damaged,NA,31,f,,,
304-1-4,304,1,4,winter,NH,4,MaN,105,Scorpenidae,Sebastes spp.,NA,105,a,,,
,304,1,4,winter,NH,4,MaN,1,Pleuronectidae,Glyptocephalus zachirus,NA,1,b,,,
,304,1,4,winter,NH,4,MaN,8,unknown,Damaged,NA,8,c,,,
,304,1,4,winter,NH,4,MaN,76,unknown,Damaged,NA,76,d,,,dessicated(likely sebastes)
304-4-0,304,4,0,winter,NH,4,MaN,3,Myctophidae,Stenobrachius leucopsarus,NA,3,a,,,juveniles in jar
,304,4,0,winter,NH,4,MaN,3,Cyclopteridae,Liparis fucensis,NA,3,b,,,
,304,4,0,winter,NH,4,MaN,2,Scorpenidae,Sebastes spp.,NA,2,c,,,
,304,4,0,winter,NH,4,MaN,1,Bathylagidae,Lipolagus ochotensis,NA,1,d,,,
,304,4,0,winter,NH,4,MaN,4,Myctophidae,Protomyctophum crockeri,NA,4,e,,,
,304,4,0,winter,NH,4,MaN,6,Pleuronectidae,Parophrys vetulus,NA,6,f,,,
,304,4,0,winter,NH,4,MaN,1,Paralichthyidae,Citharichthys stigmaeus,NA,1,g,,,
,304,4,0,winter,NH,4,MaN,1,unknown,Fish eggs,NA,1,h,,,
304-4-1,304,4,1,winter,NH,4,MaN,7,Scorpenidae,Sebastes spp.,NA,7,a,,,
,304,4,1,winter,NH,4,MaN,3,Myctophidae,Stenobrachius leucopsarus,NA,3,b,,,juveniles in jar
,304,4,1,winter,NH,4,MaN,2,Bathylagidae,Lipolagus ochotensis,NA,2,c,,,
,304,4,1,winter,NH,4,MaN,1,Cyclopteridae,Liparis fucensis,NA,1,d,,,
,304,4,1,winter,NH,4,MaN,8,Myctophidae,Protomyctophum crockeri,NA,8,e,,,
,304,4,1,winter,NH,4,MaN,1,Myctophidae,Tarletonbeania crenularis,NA,1,f,,,
,304,4,1,winter,NH,4,MaN,3,unknown,Damaged,NA,3,g,,,
,304,4,1,winter,NH,4,MaN,2,Myctophidae,Protomyctophum thompsoni,NA,2,h,,,
304-4-2,304,4,2,winter,NH,4,MaN,1,Myctophidae,Stenobrachius leucopsarus,NA,1,a,,,juveniles
,304,4,2,winter,NH,4,MaN,3,Bathylagidae,Lipolagus ochotensis,NA,3,b,,,
,304,4,2,winter,NH,4,MaN,5,Myctophidae,Stenobrachius leucopsarus,NA,5,c,,,
,304,4,2,winter,NH,4,MaN,1,Myctophidae,Protomyctophum crockeri,NA,1,d,,,
,304,4,2,winter,NH,4,MaN,6,Scorpenidae,Sebastes spp.,NA,6,e,,,
,304,4,2,winter,NH,4,MaN,3,Myctophidae,Tarletonbeania crenularis,NA,3,f,,,
,304,4,2,winter,NH,4,MaN,3,unknown,Damaged,NA,3,g,,,
304-4-3,304,4,3,winter,NH,4,MaN,5,Myctophidae,Stenobrachius leucopsarus,NA,5,a,,,juveniles in jar
,304,4,3,winter,NH,4,MaN,30,Scorpenidae,Sebastes spp.,NA,30,b,,,
,304,4,3,winter,NH,4,MaN,8,Bathylagidae,Lipolagus ochotensis,NA,8,c,,,
,304,4,3,winter,NH,4,MaN,13,Myctophidae,Stenobrachius leucopsarus,NA,13,d,,,
,304,4,3,winter,NH,4,MaN,2,Pleuronectidae,Parophrys vetulus,NA,2,e,,,
,304,4,3,winter,NH,4,MaN,3,Paralepididae,Lestidiops ringens,NA,3,f,,,
,304,4,3,winter,NH,4,MaN,3,unknown,Damaged,NA,3,g,,,
,304,4,3,winter,NH,4,MaN,1,Myctophidae,Nannobrachium spp.,NA,1,h,,,
304-4-4,304,4,4,winter,NH,4,MaN,1,Myctophidae,Stenobrachius leucopsarus,NA,1,a,,,juvenile
,304,4,4,winter,NH,4,MaN,177,Scorpenidae,Sebastes spp.,NA,177,b,,,
,304,4,4,winter,NH,4,MaN,6,Paralichthyidae,Citharichthys stigmaeus,NA,6,c,,,found dessicated 09/29/25
,304,4,4,winter,NH,4,MaN,1,Pleuronectidae,Parophrys vetulus,NA,1,d,,,
,304,4,4,winter,NH,4,MaN,2,Paralichthyidae,Citharichthys sordidus,NA,2,e,,,
,304,4,4,winter,NH,4,MaN,3,Paralepididae,Lestidiops ringens,NA,3,f,,,
,304,4,4,winter,NH,4,MaN,3,Bathylagidae,Lipolagus ochotensis,NA,3,g,,,
,304,4,4,winter,NH,4,MaN,2,unknown,Fish eggs,NA,2,h,,,
,304,4,4,winter,NH,4,MaN,2,unknown,Damaged,NA,2,i,,,
,304,4,4,winter,NH,4,MaN,1,Anoplopomatidae,Anoplopoma fimbria,NA,1,j,,,
305-1-0,305,1,0,winter,NH,5,MaN,1,Bathylagidae,Lipolagus ochotensis,NA,1,d,,,
,305,1,0,winter,NH,5,MaN,1,Myctophidae,Stenobrachius leucopsarus,NA,1,a,,,juvenile
,305,1,0,winter,NH,5,MaN,19,Myctophidae,Stenobrachius leucopsarus,NA,19,f,,,
,305,1,0,winter,NH,5,MaN,1,Myctophidae,Protomyctophum crockeri,NA,1,c,,,
,305,1,0,winter,NH,5,MaN,18,Scorpenidae,Sebastes spp.,NA,18,g,,,
,305,1,0,winter,NH,5,MaN,3,Myctophidae,Tarletonbeania crenularis,NA,3,b,,,
